ancestry_bytes,construction_seconds,covered_inputs,deployed_index_bits,deployed_index_bytes_packed,depth,distinct_predecessor_pairs,duplicate_predecessor_pairs,fanout_cv,fanout_max,fanout_mean,generator_temporary_bytes,in_dim,indices_tensor_bytes,input_coverage,jaccard_overlap_mean,lut_rank,max_gate_ancestry,max_source_ancestry,mean_gate_ancestry,mean_source_ancestry,original_inputs,out_dim,overlap_max,overlap_mean,overlap_p50,overlap_p90,overlap_std,reachable_gate_fraction,same_channel_pair_fraction,same_source_pair_fraction,same_spatial_location_pair_fraction,same_threshold_pair_fraction,source_ancestry_unique_fraction,source_covered_inputs,source_cross_gate_jaccard_mean,source_group_coverage_mean,source_group_coverage_min,source_group_usage_cv_mean,source_input_coverage,source_original_inputs,source_predecessor_jaccard_mean,source_predecessor_overlap_mean,spatial_manhattan_mean,spatial_manhattan_p50,spatial_manhattan_p90,std_gate_ancestry,std_source_ancestry,strategy,unused_outputs
1578864,0.14174152398481965,2352,128016,16002,0,5334,0,0.10995464601392867,5,4.535714285714286,884688,2352,85344,1.0,0.0,2,2,2,2.0,2.0,2352,5334,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9090738657667792,0.7285339332583427,784,0.0040002500156259765,1.0,1.0,0.09386642909316362,1.0,784,0.0,0.0,7.673228346456693,4.0,20.0,0.0,0.0,semantic_balanced_hybrid,0
1578864,1.888436425011605,2352,138684,17336,1,5334,0,0.0,2,2.0,1194816,5334,85344,1.0,0.0,2,4,4,4.0,3.992313460817398,2352,5334,0,0.0,0.0,0.0,0.0,1.0,,,,,0.9988751406074241,784,0.0023215736697829326,1.0,1.0,0.09417966812046803,1.0,784,0.0025621797275340577,0.007686539182602175,,,,0.0,0.08733530957176767,semantic_balanced_hybrid,0
1578864,1.4139546400401741,2352,138684,17336,2,5334,0,0.0,2,2.0,1194816,5334,85344,1.0,0.00013391183244951523,2,8,8,7.999062617172854,7.981064866891638,2352,5334,1,0.0009373828271466067,0.0,0.0,0.030602355147634916,1.0,,,,,1.0,784,0.004773650001476741,1.0,1.0,0.09426955585053756,1.0,784,0.0005177924188047923,0.0035620547431571056,,,,0.030602355147634916,0.13766461772506666,semantic_balanced_hybrid,0
1578864,1.1399679959286004,2352,138684,17336,3,5334,0,0.0,2,2.0,1194816,5334,85344,1.0,0.0012266323852375596,2,16,16,15.979940007499062,15.911323584551932,2352,5334,2,0.01818522684664417,0.0,0.0,0.14440965832675254,1.0,,,,,1.0,784,0.00984393283192061,1.0,1.0,0.09409071330284671,1.0,784,0.003440641348402878,0.05080614923134608,,,,0.15052313526056005,0.30953357495705724,semantic_balanced_hybrid,0
1578864,1.1167139641474932,2352,138684,17336,4,5334,0,0.0,2,2.0,1194816,5334,85344,1.0,0.025403927659877593,2,32,32,31.227784026996627,30.956505436820397,2352,5334,7,0.7320959880014998,0.0,3.0,1.3130367323889216,1.0,,,,,1.0,784,0.020732319084809527,1.0,1.0,0.09458442248813476,1.0,784,0.030283195550254775,0.8661417322834646,,,,1.3363933582403191,1.4852044497204766,semantic_balanced_hybrid,0
1577680,1.1209218320436776,2352,138580,17323,5,5330,0,0.019363701084338714,2,1.9985001874765653,1194336,5334,85280,1.0,0.0038690344408978177,2,64,64,62.21969981238274,61.158724202626644,2352,5330,9,0.23583489681050657,0.0,1.0,0.5648482727600384,1.0,,,,,1.0,784,0.04081320939465604,1.0,1.0,0.16912735101657067,1.0,784,0.012591387195037542,0.7540337711069418,,,,1.9561674978113195,2.2672196742961512,semantic_balanced_hybrid,0
