ancestry_bytes,construction_seconds,covered_inputs,deployed_index_bits,deployed_index_bytes_packed,depth,distinct_predecessor_pairs,duplicate_predecessor_pairs,fanout_cv,fanout_max,fanout_mean,generator_temporary_bytes,in_dim,indices_tensor_bytes,input_coverage,jaccard_overlap_mean,lut_rank,max_gate_ancestry,max_source_ancestry,mean_gate_ancestry,mean_source_ancestry,original_inputs,out_dim,overlap_max,overlap_mean,overlap_p50,overlap_p90,overlap_std,reachable_gate_fraction,same_channel_pair_fraction,same_source_pair_fraction,same_spatial_location_pair_fraction,same_threshold_pair_fraction,source_ancestry_unique_fraction,source_covered_inputs,source_cross_gate_jaccard_mean,source_group_coverage_mean,source_group_coverage_min,source_group_usage_cv_mean,source_input_coverage,source_original_inputs,source_predecessor_jaccard_mean,source_predecessor_overlap_mean,spatial_manhattan_mean,spatial_manhattan_p50,spatial_manhattan_p90,std_gate_ancestry,std_source_ancestry,strategy,unused_outputs
2368000,0.21737807899990003,2352,192000,24000,0,8000,0,0.059894699264626095,8,6.802721088435374,1204608,2352,128000,1.0,0.0,2,2,2,2.0,2.0,2352,8000,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.909,0.627125,784,0.004292203192065675,1.0,1.0,0.04790615826801393,1.0,784,0.0,0.0,7.65575,4.0,20.0,0.0,0.0,semantic_balanced_hybrid,0
2368000,1.3640606389999448,2352,208000,26000,1,8000,0,0.0,2,2.0,1792000,8000,128000,1.0,0.0,2,4,4,4.0,3.988625,2352,8000,0,0.0,0.0,0.0,0.0,1.0,,,,,0.998625,784,0.0021877734716839606,1.0,1.0,0.04835437420871128,1.0,784,0.0037916666666666667,0.011375,,,,0.0,0.10604531755339315,semantic_balanced_hybrid,0
2368000,1.021320657000615,2352,208000,26000,2,8000,0,0.0,2,2.0,1792000,8000,128000,1.0,0.0008214285714285714,2,8,8,7.99425,7.96025,2352,8000,1,0.00575,0.0,0.0,0.07561043248123898,1.0,,,,,1.0,784,0.006891712279885801,1.0,1.0,0.048528097756481675,1.0,784,0.0024553571428571424,0.017,,,,0.07561043248123898,0.19917313448354423,semantic_balanced_hybrid,0
2368000,0.831304065999575,2352,208000,26000,3,8000,0,0.0,2,2.0,1792000,8000,128000,1.0,0.000818452380952381,2,16,16,15.97625,15.889,2352,8000,2,0.01225,0.0,0.0,0.11113027265331442,1.0,,,,,1.0,784,0.010247514592530744,1.0,1.0,0.04861924381445402,1.0,784,0.0021279761904761905,0.0315,,,,0.15390236352960923,0.33679222081277355,semantic_balanced_hybrid,0
2368000,0.8200955689972034,2352,208000,26000,4,8000,0,0.0,2,2.0,1792000,8000,128000,1.0,0.0026341178617040684,2,32,32,31.871375,31.537875,2352,8000,4,0.081125,0.0,0.0,0.29418316466956435,1.0,,,,,1.0,784,0.019622730547184927,1.0,1.0,0.048447084802113335,1.0,784,0.007878139989465073,0.240125,,,,0.3637727441343015,0.6887056587360091,semantic_balanced_hybrid,0
2368000,0.8340032939995581,2352,208000,26000,5,8000,0,0.0,2,2.0,1792000,8000,128000,1.0,0.005304323067088468,2,64,64,63.412875,62.052875,2352,8000,9,0.329875,0.0,1.0,0.6305215970726142,1.0,,,,,1.0,784,0.039914070292794555,1.0,1.0,0.10507074970506003,1.0,784,0.016800149331329155,1.022875,,,,0.8155729485306634,1.4431144217888614,semantic_balanced_hybrid,0
