channel_fanout_cv,channel_fanout_max,channel_fanout_mean,channel_fanout_min,channel_group_size,channel_pair_span_mean,channel_pair_span_p50,channel_pair_span_p90,construction_seconds,depth,distinct_channel_groups,duplicate_channel_groups,generator_temporary_bytes,in_channels,out_kernels,same_input_channel_fraction,same_threshold_fraction,spatial_coordinates_sha256,strategy,structure,tree_depth,unused_channels
0.04419417382415922,11,10.666666666666666,10,2,2.3125,2.0,4.0,0.04019096726551652,0,14,18,6144,6,32,0.1875,0.5625,65b6211c94b676640e8327e4b40ce2b168de7d9cc958b9c7000170b722633a71,semantic_channel_hybrid,conv_channel,3,0
0.0,8,8.0,8,2,7.25,4.0,16.0,0.018011567182838917,1,95,33,24576,32,128,,,0256ec2e36d66cd5f9dab70c116e13b30adea88ead52beb254a1133f6d33525f,semantic_channel_hybrid,conv_channel,3,0
0.0,8,8.0,8,2,19.30078125,8.0,64.0,0.09760883590206504,2,462,50,98304,128,512,,,95b23e05062276fc8f6e7e34d2078482abe3e3f305dd0ef5092153467322aa2b,semantic_channel_hybrid,conv_channel,3,0
0.0,4,4.0,4,2,32.22265625,32.0,64.0,0.2576859360560775,3,1024,0,196608,512,1024,,,eca79c40cbc85da6b65cc480c3107ec8039647d142030fc28097fa4584c7c7bb,semantic_channel_hybrid,conv_channel,3,0
