step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.7649969482421876,0.5205999851226807,0.533199988603592,1.5693685483932496,1.338203432559967
4000,0.5358480224609375,0.5641999858617782,0.5689999860525131,1.2882513475418091,1.225180103778839
6000,0.4187941284179687,0.5777999871969223,0.58339998960495,1.2094339537620544,1.1870667135715485
8000,0.34478799438476565,0.5863999861478806,0.587999986410141,1.1877011561393738,1.1747930145263672
10000,0.2985514221191406,0.5861999893188476,0.5937999886274338,1.180374677181244,1.167873295545578
12000,0.26908905029296876,0.5943999862670899,0.5953999853134155,1.179695794582367,1.168589279651642
14000,0.250212646484375,0.5931999886035919,0.596599988937378,1.174219102859497,1.1650329554080963
16000,0.23647955322265626,0.5941999876499175,0.5957999843358993,1.1741424643993377,1.1662246763706208
18000,0.22751800537109376,0.594799988269806,0.5935999888181687,1.171170036792755,1.1637722182273864
20000,0.21990170288085936,0.5907999849319459,0.5925999879837036,1.1731263780593872,1.164590256214142
