step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.7974034423828125,0.48219998717308044,0.5035999864339828,1.8151334261894225,1.4382066798210145
4000,0.57585302734375,0.5261999893188477,0.5263999891281128,1.4359283065795898,1.347012710571289
6000,0.4480152893066407,0.5231999868154525,0.536799988746643,1.3746535682678223,1.3201799416542053
8000,0.3655582275390625,0.5369999849796295,0.5379999846220016,1.3385857367515563,1.307299017906189
10000,0.31499087524414066,0.5355999892950059,0.5409999859333038,1.3220251178741456,1.303454384803772
12000,0.28388204956054686,0.5403999882936478,0.5411999893188476,1.3151647996902467,1.303974483013153
14000,0.26273168945312503,0.541799983382225,0.5415999865531922,1.3116265606880189,1.3014813542366028
16000,0.24856681823730467,0.5435999894142151,0.5421999877691269,1.307168848514557,1.2984668374061585
18000,0.23873847961425781,0.5397999894618988,0.5435999894142151,1.306642973423004,1.298836989402771
20000,0.23072576904296874,0.5411999827623367,0.5409999859333038,1.303168740272522,1.296999876499176
