step,thresh_0,thresh_1,thresh_2,thresh_3
1688,0.0,0.0,0.2666666805744171,0.7254902124404907
3376,0.0,0.0,0.2666666805744171,0.7254902124404907
5064,0.0,0.0,0.2666666805744171,0.7254902124404907
6752,0.0,0.0,0.2666666805744171,0.7254902124404907
8440,0.0,0.0,0.2666666805744171,0.7254902124404907
10128,0.0,0.0,0.2666666805744171,0.7254902124404907
11816,0.0,0.0,0.2666666805744171,0.7254902124404907
13504,0.0,0.0,0.2666666805744171,0.7254902124404907
15192,0.0,0.0,0.2666666805744171,0.7254902124404907
16880,0.0,0.0,0.2666666805744171,0.7254902124404907
18568,0.0,0.0,0.2666666805744171,0.7254902124404907
20256,0.0,0.0,0.2666666805744171,0.7254902124404907
21944,0.0,0.0,0.2666666805744171,0.7254902124404907
23632,0.0,0.0,0.2666666805744171,0.7254902124404907
25320,0.0,0.0,0.2666666805744171,0.7254902124404907
27008,0.0,0.0,0.2666666805744171,0.7254902124404907
28696,0.0,0.0,0.2666666805744171,0.7254902124404907
30384,0.0,0.0,0.2666666805744171,0.7254902124404907
32072,0.0,0.0,0.2666666805744171,0.7254902124404907
33760,0.0,0.0,0.2666666805744171,0.7254902124404907
35448,0.0,0.0,0.2666666805744171,0.7254902124404907
37136,0.0,0.0,0.2666666805744171,0.7254902124404907
38824,0.0,0.0,0.2666666805744171,0.7254902124404907
40512,0.0,0.0,0.2666666805744171,0.7254902124404907
42200,0.0,0.0,0.2666666805744171,0.7254902124404907
43888,0.0,0.0,0.2666666805744171,0.7254902124404907
45576,0.0,0.0,0.2666666805744171,0.7254902124404907
47264,0.0,0.0,0.2666666805744171,0.7254902124404907
48952,0.0,0.0,0.2666666805744171,0.7254902124404907
50640,0.0,0.0,0.2666666805744171,0.7254902124404907
52328,0.0,0.0,0.2666666805744171,0.7254902124404907
54016,0.0,0.0,0.2666666805744171,0.7254902124404907
55704,0.0,0.0,0.2666666805744171,0.7254902124404907
57392,0.0,0.0,0.2666666805744171,0.7254902124404907
59080,0.0,0.0,0.2666666805744171,0.7254902124404907
60768,0.0,0.0,0.2666666805744171,0.7254902124404907
62456,0.0,0.0,0.2666666805744171,0.7254902124404907
64144,0.0,0.0,0.2666666805744171,0.7254902124404907
65832,0.0,0.0,0.2666666805744171,0.7254902124404907
67520,0.0,0.0,0.2666666805744171,0.7254902124404907
69208,0.0,0.0,0.2666666805744171,0.7254902124404907
70896,0.0,0.0,0.2666666805744171,0.7254902124404907
72584,0.0,0.0,0.2666666805744171,0.7254902124404907
74272,0.0,0.0,0.2666666805744171,0.7254902124404907
75960,0.0,0.0,0.2666666805744171,0.7254902124404907
77648,0.0,0.0,0.2666666805744171,0.7254902124404907
79336,0.0,0.0,0.2666666805744171,0.7254902124404907
81024,0.0,0.0,0.2666666805744171,0.7254902124404907
82712,0.0,0.0,0.2666666805744171,0.7254902124404907
84400,0.0,0.0,0.2666666805744171,0.7254902124404907
