step,thresh_0,thresh_1
2000,0.33725491166114807,0.5843137502670288
4000,0.33725491166114807,0.5843137502670288
6000,0.33725491166114807,0.5843137502670288
8000,0.33725491166114807,0.5843137502670288
10000,0.33725491166114807,0.5843137502670288
12000,0.33725491166114807,0.5843137502670288
14000,0.33725491166114807,0.5843137502670288
16000,0.33725491166114807,0.5843137502670288
18000,0.33725491166114807,0.5843137502670288
20000,0.33725491166114807,0.5843137502670288
22000,0.33725491166114807,0.5843137502670288
24000,0.33725491166114807,0.5843137502670288
26000,0.33725491166114807,0.5843137502670288
28000,0.33725491166114807,0.5843137502670288
30000,0.33725491166114807,0.5843137502670288
