step,thresh_0_0,thresh_0_1,thresh_0_2
3510,0.25,0.5,0.75
7020,0.25,0.5,0.75
10530,0.25,0.5,0.75
14040,0.25,0.5,0.75
17550,0.25,0.5,0.75
21060,0.25,0.5,0.75
24570,0.25,0.5,0.75
28080,0.25,0.5,0.75
31590,0.25,0.5,0.75
35100,0.25,0.5,0.75
