ancestry_bytes,construction_seconds,covered_inputs,deployed_index_bits,deployed_index_bytes_packed,depth,distinct_predecessor_pairs,duplicate_predecessor_pairs,fanout_cv,fanout_max,fanout_mean,generator_temporary_bytes,in_dim,indices_tensor_bytes,input_coverage,jaccard_overlap_mean,lut_rank,max_gate_ancestry,mean_gate_ancestry,original_inputs,out_dim,overlap_max,overlap_mean,overlap_p50,overlap_p90,overlap_std,reachable_gate_fraction,std_gate_ancestry,strategy,unused_outputs
13824000,0.011765752919018269,9216,336000,42000,0,11999,1,0.18778711350888805,3,2.6041666666666665,24632832,9216,192000,1.0,0.0,2,2,2.0,9216,12000,0,0.0,0.0,0.0,0.0,1.0,0.0,random,0
13824000,0.013446289114654064,9216,336000,42000,1,12000,0,0.0,2,2.0,36288000,12000,192000,1.0,0.0002222222222222222,2,4,3.999416666666667,9216,12000,2,0.0005833333333333334,0.0,0.0,0.027379914576605643,1.0,0.027379914576605643,random,0
13824000,0.015118041075766087,9216,336000,42000,2,12000,0,0.0,2,2.0,36288000,12000,192000,1.0,0.0003095238095238095,2,8,7.99675,9216,12000,2,0.0020833333333333333,0.0,0.0,0.05078378732977243,1.0,0.06381826410466938,random,0
13824000,0.014668019954115152,9216,336000,42000,3,11998,2,0.0,2,2.0,36288000,12000,192000,1.0,0.00044761904761904766,2,16,15.987166666666667,9216,12000,4,0.006333333333333333,0.0,0.0,0.10468948795790765,1.0,0.13784764133717423,random,0
