step,thresh_0,thresh_1
2000,0.35675978660583496,0.6230180859565735
4000,0.3570718765258789,0.6254786252975464
6000,0.35684558749198914,0.6246553659439087
8000,0.3583489954471588,0.6256755590438843
10000,0.35884615778923035,0.6256097555160522
12000,0.3586103618144989,0.6251978278160095
14000,0.35894811153411865,0.6255816221237183
16000,0.3589889407157898,0.6256943941116333
18000,0.3588304817676544,0.6254292726516724
20000,0.35860615968704224,0.6252930164337158
22000,0.3586486876010895,0.6253292560577393
24000,0.35883286595344543,0.6254388689994812
26000,0.35876530408859253,0.6254563331604004
28000,0.35876479744911194,0.6253353357315063
30000,0.3589954078197479,0.6259211301803589
