step,thresh_0_0,thresh_0_1,thresh_0_2,thresh_0_3,thresh_0_4
2000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
4000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
6000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
8000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
10000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
12000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
14000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
16000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
18000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
20000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
22000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
24000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
26000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
28000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
30000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
32000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
34000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
36000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
38000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
40000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
42000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
44000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
46000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
48000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
50000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
52000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
54000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
56000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
58000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
60000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
62000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
64000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
66000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
68000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
70000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
72000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
74000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
76000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
78000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
80000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
82000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
84000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
86000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
88000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
90000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
92000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
94000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
96000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
98000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
100000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
102000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
104000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
106000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
108000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
