step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.8235924072265625,0.47539998710155484,0.4911999887228012,1.5113423371315002,1.4835334348678588
4000,0.6743797607421875,0.5015999901294709,0.5149999850988388,1.4260668683052062,1.4132779955863952
6000,0.6338535766601563,0.5101999884843826,0.5193999862670898,1.398971564769745,1.3899120664596558
8000,0.613060546875,0.517399987578392,0.5217999881505966,1.381505651473999,1.37844895362854
10000,0.6002587890625,0.5171999901533126,0.5221999883651733,1.377089695930481,1.3745230627059937
12000,0.591363037109375,0.5137999886274338,0.5231999868154525,1.3780619645118712,1.371764771938324
14000,0.58572216796875,0.5161999893188477,0.5217999893426896,1.3790835332870484,1.3716551637649537
16000,0.5801974487304687,0.5139999896287918,0.5173999899625779,1.3789203572273254,1.3705321478843688
18000,0.5776577758789062,0.512999986410141,0.518799986243248,1.374815855026245,1.3687000799179077
20000,0.5740684204101563,0.5165999883413315,0.5213999873399735,1.3741087436676025,1.3680765533447266
