step,thresh_0_0,thresh_0_1,thresh_0_2,thresh_0_3,thresh_0_4
2000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
4000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
6000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
8000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
10000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
12000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
14000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
16000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
18000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
20000,0.1666666716337204,0.3333333432674408,0.5,0.6666666865348816,0.8333333730697632
