ancestry_bytes,construction_seconds,covered_inputs,deployed_index_bits,deployed_index_bytes_packed,depth,distinct_predecessor_pairs,duplicate_predecessor_pairs,fanout_cv,fanout_max,fanout_mean,generator_temporary_bytes,in_dim,indices_tensor_bytes,input_coverage,jaccard_overlap_mean,lut_rank,max_gate_ancestry,max_source_ancestry,mean_gate_ancestry,mean_source_ancestry,original_inputs,out_dim,overlap_max,overlap_mean,overlap_p50,overlap_p90,overlap_std,reachable_gate_fraction,same_channel_pair_fraction,same_source_pair_fraction,same_spatial_location_pair_fraction,same_threshold_pair_fraction,source_ancestry_unique_fraction,source_covered_inputs,source_cross_gate_jaccard_mean,source_group_coverage_mean,source_group_coverage_min,source_group_usage_cv_mean,source_input_coverage,source_original_inputs,source_predecessor_jaccard_mean,source_predecessor_overlap_mean,spatial_manhattan_mean,spatial_manhattan_p50,spatial_manhattan_p90,std_gate_ancestry,std_source_ancestry,strategy,unused_outputs
2368000,0.22102612600428984,2352,192000,24000,0,8000,0,0.0606568215454783,8,6.802721088435374,1204608,2352,128000,1.0,0.0,2,2,2,2.0,2.0,2352,8000,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.909,0.63525,784,0.004208859440763428,1.0,1.0,0.04941659640242335,1.0,784,0.0,0.0,7.60825,4.0,20.0,0.0,0.0,semantic_balanced_hybrid,0
2368000,2.7330698120058514,2352,208000,26000,1,8000,0,0.0,2,2.0,1792000,8000,128000,1.0,0.0,2,4,4,4.0,3.99275,2352,8000,0,0.0,0.0,0.0,0.0,1.0,,,,,0.99825,784,0.001428750022324219,1.0,1.0,0.0498343177427827,1.0,784,0.0025,0.00725,,,,0.0,0.08773504146006884,semantic_balanced_hybrid,0
2368000,2.016270378997433,2352,208000,26000,2,8000,0,0.0,2,2.0,1792000,8000,128000,1.0,0.0005714285714285714,2,8,8,7.996,7.975625,2352,8000,1,0.004,0.0,0.0,0.063118935352238,1.0,,,,,1.0,784,0.006733442412902345,1.0,1.0,0.05015321830018984,1.0,784,0.0014107142857142855,0.009875,,,,0.063118935352238,0.157419374204702,semantic_balanced_hybrid,0
2368000,1.6520146250113612,2352,208000,26000,3,8000,0,0.0,2,2.0,1792000,8000,128000,1.0,0.0005619047619047619,2,16,16,15.983625,15.922625,2352,8000,2,0.008375,0.0,0.0,0.09515702483264175,1.0,,,,,1.0,784,0.010604220272656301,1.0,1.0,0.050404583008391006,1.0,784,0.0019348901098901097,0.028625,,,,0.1298339684943813,0.2848475195170216,semantic_balanced_hybrid,0
2368000,1.634897871001158,2352,208000,26000,4,8000,0,0.0,2,2.0,1792000,8000,128000,1.0,0.0019199772233698816,2,32,32,31.908375,31.664625,2352,8000,4,0.058875,0.0,0.0,0.26769149103959206,1.0,,,,,1.0,784,0.020279977936493845,1.0,1.0,0.05025733120109933,1.0,784,0.005941280839674889,0.180625,,,,0.3263125179563297,0.6242183987796258,semantic_balanced_hybrid,0
2368000,1.6680437300092308,2352,208000,26000,5,8000,0,0.0,2,2.0,1792000,8000,128000,1.0,0.0042472527912901965,2,64,64,63.552375,62.5565,2352,8000,9,0.264375,0.0,1.0,0.584577505019651,1.0,,,,,1.0,784,0.04257860417496441,1.0,1.0,0.1177568214096362,1.0,784,0.012634639461492656,0.77275,,,,0.7407812493408563,1.3425005586591017,semantic_balanced_hybrid,0
