seq_length,accuracy,model,run_id
91,0.28922862231731417,GRU,3n8yt2de
18,0.3087694704532623,GRU,0d674dfx
91,0.2886513022184372,GRU,5x0pfwwv
30,0.29643563401699063,GRU,mnujjsj5
9,0.36294899380207063,GRU,6umujkld
40,0.2962932515144348,GRU,eu07r62r
79,0.2892984298467636,GRU,rqbfewg1
103,0.28758632111549376,GRU,08mjm37n
102,0.2936860749721527,GRU,o1se2ip9
92,0.2938661440610886,GRU,tp5s8qli
76,0.28862610226869584,GRU,lw85cr6m
87,0.29090445268154147,GRU,4r6d61r5
123,0.28933793675899505,GRU,rqmyeiho
39,0.2978411516547203,GRU,j456d5mn
110,0.2918467226028442,GRU,n7wg98r1
71,0.2921591475009918,GRU,uwrdiquz
51,0.29097510516643527,GRU,952lvzws
120,0.2893682001233101,GRU,v0ud390b
34,0.29294867926836016,GRU,1hq9fy40
86,0.2904645138382912,GRU,pa18fqqc
100,0.2902932918667793,GRU,ap52th9a
50,0.29255320769548415,GRU,qurou3o8
13,0.33536042761802676,GRU,5j9vbwab
112,0.2901809562444687,GRU,0je04fqh
36,0.29662704533338546,GRU,l4ph5jc2
86,0.28910463124513625,GRU,vyixmpjo
83,0.29453407365083695,GRU,g0ewiuxn
29,0.3017610740661621,GRU,9hv4ajqi
95,0.29055033922195433,GRU,7tcetifp
26,0.29758127546310426,GRU,ritzvbro
93,0.29376626753807067,GRU,ahaljv9n
19,0.309210974752903,GRU,i8csivg2
99,0.2840851557254791,GRU,wad1tuac
108,0.2874421510696411,GRU,i8ennr4k
37,0.2947000411748886,GRU,rg92f7z2
113,0.28314682602882385,GRU,eqekusnq
112,0.28195180928707125,GRU,qp2gl23o
55,0.29409363442659375,GRU,67jybuqt
126,0.2860278004407883,GRU,ostm11b7
9,0.3626152770519256,GRU,g0j2ob2u
16,0.3234044092297554,GRU,y2a3922j
69,0.2914356470108032,GRU,3f71o8x7
51,0.2905263950228691,GRU,0mwkccor
121,0.28872912836074827,GRU,xijtuvce
49,0.29576995921134946,GRU,cflfltg2
43,0.2961189107298851,GRU,a7v2p73x
125,0.28861362433433535,GRU,74b33fli
64,0.29361615335941316,GRU,ff5k9f92
107,0.29039143496751785,GRU,61p8g9bl
118,0.291139080286026,GRU,xalluupl
43,0.2961189107298851,GRU,25xt1n19
64,0.29382100439071657,GRU,x438xlmn
52,0.2924086626768112,GRU,dm77dae5
12,0.32467395079135897,GRU,1gd8utca
31,0.2983970161676407,GRU,h8inmfwa
124,0.2928324981331825,GRU,hdxl8o6g
46,0.2930919839143753,GRU,dvdvrsec
53,0.294328036904335,GRU,makpjxth
96,0.28950510907173155,GRU,7h2halqp
128,0.29120905935764313,GRU,so4ila3k
84,0.2923373824954033,GRU,i68hvj0h
26,0.2972985208630562,GRU,4nyocc6h
48,0.2969311500787735,GRU,6s4b97dr
83,0.28932859587669374,GRU,zodhwqq8
60,0.2902865651845932,GRU,3ajpbcmt
48,0.2969311500787735,GRU,6pkhrxjz
100,0.2902932918667793,GRU,fnl1xano
55,0.29409363442659375,GRU,bnxz9t5f
41,0.2967210763096809,GRU,dh77jit9
106,0.29268645828962325,GRU,w0wez815
103,0.2773784516453743,GRU,3te4tp4n
70,0.28891344702243804,GRU,26ote85j
9,0.3626152770519256,GRU,vr7jl1le
70,0.28872301244735715,GRU,m29hrf67
58,0.2892084231972694,GRU,ellxobn3
107,0.2907687450051308,GRU,2b31q4rg
78,0.29237726575136186,GRU,zl0t0oak
27,0.2951781522631645,GRU,2gz8jmyq
105,0.287282290160656,GRU,6jfnf8b5
95,0.29042777985334395,GRU,qtub9u06
113,0.2903248797655106,GRU,goe09rc3
34,0.29474372005462646,GRU,mk4cqnfj
10,0.324574135363102,GRU,rlynbjt2
115,0.28574170970916746,GRU,ck5k6twq
67,0.29043736338615417,GRU,dokgivvc
46,0.2949397841691971,GRU,4mzcgnxk
7,0.32735627545416357,GRU,hggayvv9
96,0.2894350643157959,GRU,heqat6qb
125,0.28605690503120423,GRU,tax0khvd
31,0.29366727459430697,GRU,uu0p1uvk
