ancestry_bytes,construction_seconds,covered_inputs,deployed_index_bits,deployed_index_bytes_packed,depth,distinct_predecessor_pairs,duplicate_predecessor_pairs,fanout_cv,fanout_max,fanout_mean,generator_temporary_bytes,in_dim,indices_tensor_bytes,input_coverage,jaccard_overlap_mean,lut_rank,max_gate_ancestry,mean_gate_ancestry,original_inputs,out_dim,overlap_max,overlap_mean,overlap_p50,overlap_p90,overlap_std,reachable_gate_fraction,std_gate_ancestry,strategy,unused_outputs
832000,0.00119060929864645,784,160000,20000,0,7900,100,0.02408318915758459,21,20.408163265306122,1041536,784,128000,1.0,0.001125,2,2,1.998875,784,8000,1,0.001125,0.0,0.0,0.033522147529655676,1.0,0.033522147529655676,random,0
832000,0.006713522132486105,784,208000,26000,1,8000,0,0.0,2,2.0,16128000,8000,128000,1.0,0.002083333333333333,2,4,3.991625,784,8000,2,0.006125,0.0,0.0,0.0796083185037845,1.0,0.09249248280265808,random,0
832000,0.005642779637128115,784,208000,26000,2,8000,0,0.0,2,2.0,16128000,8000,128000,1.0,0.0029970238095238092,2,8,7.962375,784,8000,2,0.020875,0.0,0.0,0.14383752770052746,1.0,0.19418897851062505,random,0
832000,0.0037304977886378765,784,208000,26000,3,8000,0,0.0,2,2.0,16128000,8000,128000,1.0,0.00533342490842491,2,16,15.84675,784,8000,8,0.078,0.0,0.0,0.2969276006032447,1.0,0.40436918465679356,random,0
832000,0.003953095059841871,784,208000,26000,4,8000,0,0.0,2,2.0,16128000,8000,128000,1.0,0.010842260141961197,2,32,31.36725,784,8000,16,0.32625,0.0,1.0,0.620935534093516,1.0,0.8329930596949774,random,0
832000,0.0036643389612436295,784,208000,26000,5,8000,0,0.0,2,2.0,16128000,8000,128000,1.0,0.020848763099168246,2,64,61.481875,784,8000,32,1.252625,1.0,3.0,1.2343239483113824,1.0,1.679857578598555,random,0
