step,thresh_0,thresh_1,thresh_2,thresh_3
3510,0.23529411852359772,0.3843137323856354,0.529411792755127,0.7058823704719543
7020,0.23529411852359772,0.3843137323856354,0.529411792755127,0.7058823704719543
10530,0.23529411852359772,0.3843137323856354,0.529411792755127,0.7058823704719543
14040,0.23529411852359772,0.3843137323856354,0.529411792755127,0.7058823704719543
17550,0.23529411852359772,0.3843137323856354,0.529411792755127,0.7058823704719543
21060,0.23529411852359772,0.3843137323856354,0.529411792755127,0.7058823704719543
24570,0.23529411852359772,0.3843137323856354,0.529411792755127,0.7058823704719543
28080,0.23529411852359772,0.3843137323856354,0.529411792755127,0.7058823704719543
31590,0.23529411852359772,0.3843137323856354,0.529411792755127,0.7058823704719543
35100,0.23529411852359772,0.3843137323856354,0.529411792755127,0.7058823704719543
