step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.36035485839843745,0.840833314259847,0.8539999753236771,0.5218268399437268,0.40353548849622406
4000,0.19181663818359374,0.8553333103656768,0.8668333103259405,0.45129219417770705,0.3668293034036954
6000,0.1588941833496094,0.8589999824762344,0.8691666483879089,0.4131713092327118,0.35719221209486324
8000,0.13692678222656252,0.8603333115577698,0.8723333150148391,0.39382176771759986,0.3500066096584002
10000,0.12201852722167969,0.8608333110809326,0.8761666506528855,0.3858068170646826,0.34603629633784294
12000,0.11082811889648438,0.8641666452089946,0.8734999815622966,0.3814626234273116,0.34883568609754245
14000,0.10272041015625,0.8669999768336614,0.8729999790589015,0.3799643576145172,0.35098954165975255
16000,0.09677452697753906,0.8694999754428864,0.8746666471163432,0.3786499852935473,0.35318299382925034
18000,0.0915863983154297,0.8676666438579559,0.8738333125909169,0.3803033466140429,0.3548607880870501
20000,0.08799370422363281,0.8701666474342347,0.8744999786218007,0.3784268679718176,0.35515374268094696
22000,0.08471001892089844,0.8701666504144668,0.8753333141406378,0.38025231709082924,0.3575819748143355
24000,0.08228149108886719,0.8683333158493042,0.8746666461229324,0.3792796532313029,0.35850803305705387
