ancestry_bytes,construction_seconds,covered_inputs,deployed_index_bits,deployed_index_bytes_packed,depth,distinct_predecessor_pairs,duplicate_predecessor_pairs,fanout_cv,fanout_max,fanout_mean,generator_temporary_bytes,in_dim,indices_tensor_bytes,input_coverage,jaccard_overlap_mean,lut_rank,max_gate_ancestry,max_source_ancestry,mean_gate_ancestry,mean_source_ancestry,original_inputs,out_dim,overlap_max,overlap_mean,overlap_p50,overlap_p90,overlap_std,reachable_gate_fraction,same_channel_pair_fraction,same_source_pair_fraction,same_spatial_location_pair_fraction,same_threshold_pair_fraction,source_ancestry_unique_fraction,source_covered_inputs,source_cross_gate_jaccard_mean,source_group_coverage_mean,source_group_coverage_min,source_group_usage_cv_mean,source_input_coverage,source_original_inputs,source_predecessor_jaccard_mean,source_predecessor_overlap_mean,spatial_manhattan_mean,spatial_manhattan_p50,spatial_manhattan_p90,std_gate_ancestry,std_source_ancestry,strategy,unused_outputs
2368000,0.002469928003847599,2352,192000,24000,0,7991,9,0.05849786320883866,7,6.802721088435374,3192192,2352,128000,1.0,0.00025,2,2,2,1.99975,1.999,2352,8000,1,0.00025,0.0,0.0,0.015809411753762374,1.0,1.0,0.001,0.001,0.334625,0.988875,784,0.0018335625286494141,1.0,1.0,0.05859122864252655,1.0,784,0.001,0.001,18.587375,18.0,31.0,0.015809411753762374,0.03160696125855822,random,0
2368000,0.006271083009778522,2352,208000,26000,1,7999,1,0.0,2,2.0,16128000,8000,128000,1.0,0.000625,2,4,4,3.99775,3.993125,2352,8000,2,0.00175,0.0,0.0,0.044687106641625396,1.0,,,,,0.99975,784,0.0026402109787532963,1.0,1.0,0.05861783257583025,1.0,784,0.0016666666666666666,0.004875,,,,0.04994934934511159,0.08412927180833078,random,0
2368000,0.006459338997956365,2352,208000,26000,2,7999,1,0.0,2,2.0,16128000,8000,128000,1.0,0.0010476190476190474,2,8,8,7.988625,7.96725,2352,8000,4,0.006875,0.0,0.0,0.09395602362275662,1.0,,,,,0.999875,784,0.005483652489528224,1.0,1.0,0.05899395826068458,1.0,784,0.0027916666666666667,0.019,,,,0.11724167081289825,0.18688883728034694,random,0
2368000,0.0046433350071311,2352,208000,26000,3,7999,1,0.0,2,2.0,16128000,8000,128000,1.0,0.002068543956043956,2,16,16,15.948625,15.850875,2352,8000,8,0.028625,0.0,0.0,0.22261089230987774,1.0,,,,,0.999875,784,0.010189491529300031,1.0,1.0,0.0589087719535534,1.0,784,0.005787820512820513,0.083625,,,,0.2770119300228783,0.41519481496642036,random,0
2368000,0.004604194997227751,2352,208000,26000,4,8000,0,0.0,2,2.0,16128000,8000,128000,1.0,0.003556666284113447,2,32,32,31.788875,31.3775,2352,8000,8,0.108375,0.0,0.0,0.37031049050087683,1.0,,,,,1.0,784,0.02090785324902788,1.0,1.0,0.0588719340558,1.0,784,0.010697555052134416,0.32425,,,,0.544105903639172,0.8235555536817174,random,0
2368000,0.0045941319986013696,2352,208000,26000,5,7999,1,0.0,2,2.0,16128000,8000,128000,1.0,0.006980000849470883,2,64,64,63.147125,61.506625,2352,8000,17,0.430625,0.0,1.0,0.7777770306296014,1.0,,,,,0.999875,784,0.041283053389636455,1.0,1.0,0.12821147409706798,1.0,784,0.02064996047569661,1.248375,,,,1.0806152110603477,1.5897188774670195,random,0
