ancestry_bytes,construction_seconds,covered_inputs,deployed_index_bits,deployed_index_bytes_packed,depth,distinct_predecessor_pairs,duplicate_predecessor_pairs,fanout_cv,fanout_max,fanout_mean,generator_temporary_bytes,in_dim,indices_tensor_bytes,input_coverage,jaccard_overlap_mean,lut_rank,max_gate_ancestry,max_source_ancestry,mean_gate_ancestry,mean_source_ancestry,original_inputs,out_dim,overlap_max,overlap_mean,overlap_p50,overlap_p90,overlap_std,reachable_gate_fraction,same_channel_pair_fraction,same_source_pair_fraction,same_spatial_location_pair_fraction,same_threshold_pair_fraction,source_ancestry_unique_fraction,source_covered_inputs,source_cross_gate_jaccard_mean,source_group_coverage_mean,source_group_coverage_min,source_group_usage_cv_mean,source_input_coverage,source_original_inputs,source_predecessor_jaccard_mean,source_predecessor_overlap_mean,spatial_manhattan_mean,spatial_manhattan_p50,spatial_manhattan_p90,std_gate_ancestry,std_source_ancestry,strategy,unused_outputs
5308416,0.23455922910943627,8935,129024,16128,0,4608,0,0.2469431164818687,2,1.0,5382144,9216,73728,0.9695095486111112,0.0,2,2,2,2.0,2.0,9216,4608,0,0.0,0.0,0.0,0.0,1.0,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,0.9184027777777778,3071,0.00036176832356558854,0.9996744791666666,0.9996744791666666,0.1470681846149123,0.9996744791666666,3072,0.0,0.0,7.862847222222222,4.0,24.0,0.0,0.0,semantic_balanced_hybrid,281
4545792,1.129552316851914,8935,102596,12825,1,3946,0,0.26421562083394534,2,1.7126736111111112,3347872,4608,63136,0.9695095486111112,0.0,2,4,4,4.0,3.9989863152559555,9216,3946,0,0.0,0.0,0.0,0.0,1.0,,,,,0.9979726305119108,3071,3.6212203512583737e-05,0.9996744791666666,0.9996744791666666,0.21128690600729877,0.9996744791666666,3072,0.000337894914681534,0.0010136847440446021,,,,0.0,0.031822275017419695,semantic_balanced_hybrid,0
4545792,1.0508235050365329,8935,94704,11838,2,3946,0,0.0,2,2.0,3093664,3946,63136,0.9695095486111112,0.0,2,8,8,8.0,7.9934110491637105,9216,3946,0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,3071,0.0012867402981471422,0.9996744791666666,0.9996744791666666,0.21140556931447038,0.9996744791666666,3072,0.000651654478314387,0.00456158134820071,,,,0.0,0.08090449037702956,semantic_balanced_hybrid,0
4544640,0.8066747062839568,8935,94680,11835,3,3945,0,0.011256579625437017,2,1.9994931576279777,3093264,3946,63120,0.9695095486111112,0.0,2,16,16,16.0,15.979721166032952,9216,3945,0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,3071,0.001926120837656531,0.9996744791666666,0.9996744791666666,0.21138582038455447,0.9996744791666666,3072,0.0004755869394652665,0.007097591888466414,,,,0.0,0.14273953099670747,semantic_balanced_hybrid,0
4544640,0.6142120179720223,8935,94680,11835,4,3945,0,0.0,2,2.0,3092880,3945,63120,0.9695095486111112,2.5075977486133258e-05,2,32,32,31.999239543726237,31.929024081115337,9216,3945,2,0.0007604562737642585,0.0,0.0,0.03559281991070845,1.0,,,,,1.0,3071,0.004061957942163876,0.9996744791666666,0.9996744791666666,0.21100224995123879,0.9996744791666666,3072,0.0009889033160348564,0.030418250950570342,,,,0.03559281991070845,0.2758219621543309,semantic_balanced_hybrid,0
4544640,0.6035929890349507,8935,94680,11835,5,3945,0,0.0,2,2.0,3092880,3945,63120,0.9695095486111112,0.0007168763123203418,2,64,64,63.95589353612167,63.6595690747782,9216,3945,8,0.04258555133079848,0.0,0.0,0.4351028395187383,1.0,,,,,1.0,3071,0.009144427221181512,0.9996744791666666,0.9996744791666666,0.21027549009023497,0.9996744791666666,3072,0.0032145737895522145,0.19847908745247148,,,,0.437855551785572,0.7197734588378714,semantic_balanced_hybrid,0
4544640,0.6129914047196507,8935,94680,11835,6,3945,0,0.0,2,2.0,3092880,3945,63120,0.9695095486111112,0.012307910160588218,2,128,128,126.47934093789607,125.20861850443599,9216,3945,24,1.432446134347275,0.0,8.0,3.772431747753489,1.0,,,,,1.0,3071,0.018881228753184515,0.9996744791666666,0.9996744791666666,0.2093729728731709,0.9996744791666666,3072,0.017906441203454984,2.1105196451204056,,,,3.82011772578993,3.9791378323302227,semantic_balanced_hybrid,0
4544640,0.5959791620261967,8935,94680,11835,7,3945,0,0.0,2,2.0,3092880,3945,63120,0.9695095486111112,0.031117097903017633,2,256,256,245.6788339670469,240.24182509505704,9216,3945,64,7.279847908745247,4.0,17.0,7.790622680586336,1.0,,,,,1.0,3071,0.04199615666627776,0.9996744791666666,0.9996744791666666,0.20667511658069063,0.9996744791666666,3072,0.0439259954918591,10.175411913814955,,,,11.51620979839817,11.576004407300875,semantic_balanced_hybrid,0
4544640,0.6160749979317188,8935,94680,11835,8,3945,0,0.0,2,2.0,3092880,3945,63120,0.9695095486111112,0.015065156953771556,2,512,498,484.1868187579214,461.6294043092522,9216,3945,130,7.1708491761723705,4.0,18.0,8.229916179293083,1.0,,,,,1.0,3071,0.10231243147436889,0.9996744791666666,0.9996744791666666,0.19969425644510155,0.9996744791666666,3072,0.04111887779908422,18.85424588086185,,,,18.1347673884184,17.50382315001361,semantic_balanced_hybrid,0
4544640,0.62178914854303,8935,94680,11835,9,3945,0,0.0,2,2.0,3092880,3945,63120,0.9695095486111112,0.02359513285566294,2,1007,918,946.2230671736376,857.5619771863118,9216,3945,254,22.150570342205324,20.0,38.0,13.636067893034816,1.0,,,,,1.0,3071,0.1611625377112944,0.9996744791666666,0.9996744791666666,0.18526904221784998,0.9996744791666666,3072,0.07679209984425331,65.69683143219265,,,,26.372142717363587,23.508190178524913,semantic_balanced_hybrid,0
