seed,random_percent,frozen_v4_percent,unified_candidate_percent,candidate_minus_random_pp
0,56.10000000000001,57.599999999999994,57.92,1.8199999999999932
1,57.4,57.8,57.66,0.259999999999998
2,56.52,56.16,58.46,1.9399999999999977
3,56.879999999999995,57.120000000000005,57.56,0.6800000000000068
4,57.42,58.56,56.52,-0.8999999999999986
