architecture,benchmark_checkpoint_sha256_matches_freeze,best_test_hard_pct,best_test_relaxed_pct,best_validation_hard_pct,coordinate,deployed_routing_bits,family,fan_in,final_test_hard_pct,final_test_relaxed_pct,final_validation_hard_pct,gate_count,heldout_checkpoint_queries,inference_examples_per_second,inference_ms_per_batch128,inference_peak_gpu_gib,name,phase,provenance,rank,seed,test_checkpoint_sha256_matches_freeze,topology_construction_seconds,trainable_parameters,training_peak_gpu_gib,training_routing_parameters,training_wall_minutes,truth_table_bits
DlgnCifar10BitLogicRank2S,True,25.86,45.24,25.900000000000002,s,208000,random,2,23.580000000000002,46.5,23.34,8000,2,301051.11729044205,0.42517696380615233,0.016841411590576172,third_bitlogic_s_random_seed1,third_bitlogic_cifar10,reproduced-local,2,1,True,0.0032473180908709764,128000,0.027820110321044922,0,8.519293117084695,32000
DlgnCifar10BitLogicRank2S,True,27.27,48.730000000000004,27.02,s,208000,u2,2,27.27,48.730000000000004,27.02,8000,2,246658.09198889032,0.5189369583129883,0.016841411590576172,third_bitlogic_s_u2_seed0,third_bitlogic_cifar10,our-transfer,2,0,True,0.32675646990537643,128000,0.027820110321044922,0,8.522209703817499,32000
DlgnCifar10BitLogicRank2S,True,29.599999999999998,47.07,29.14,s,208000,u2,2,25.509999999999998,48.85,25.06,8000,2,251102.49368341753,0.5097520065307617,0.016841411590576172,third_bitlogic_s_u2_seed1,third_bitlogic_cifar10,our-transfer,2,1,True,0.3268126680050045,128000,0.027820110321044922,0,8.422757767315488,32000
DlgnCifar10BitLogicBestS,True,27.58,51.480000000000004,26.76,s,416000,best,4,22.509999999999998,57.269999999999996,21.52,8000,2,60975.88065527021,2.099190673828125,0.14565610885620117,third_bitlogic_s_best_seed0,third_bitlogic_cifar10,reproduced-local,4,0,True,0.0,640000,0.6107850074768066,512000,9.86800375051486,128000
DlgnCifar10BitLogicBestS,True,27.42,49.79,27.92,s,416000,best,4,20.87,57.93000000000001,20.560000000000002,8000,2,50959.57493998499,2.5117948913574217,0.14565610885620117,third_bitlogic_s_best_seed1,third_bitlogic_cifar10,reproduced-local,4,1,True,0.0,640000,0.6107850074768066,512000,9.974202112981583,128000
DlgnCifar10BitLogicRank2M,True,25.330000000000002,48.02,24.060000000000002,m,896000,random,2,21.560000000000002,50.29,20.76,32000,2,176377.80971374325,0.7257148742675781,0.05118417739868164,third_bitlogic_m_random_seed0,third_bitlogic_cifar10,reproduced-local,2,0,True,0.04453668696805835,512000,0.1036381721496582,0,8.573814149798515,128000
DlgnCifar10BitLogicRank2M,True,26.56,47.93,25.679999999999996,m,896000,random,2,22.96,48.89,22.6,32000,2,169190.56913635464,0.7565433502197265,0.05118417739868164,third_bitlogic_m_random_seed1,third_bitlogic_cifar10,reproduced-local,2,1,True,0.033650567987933755,512000,0.1036381721496582,0,8.590394197000812,128000
DlgnCifar10BitLogicRank2M,True,26.029999999999998,54.06999999999999,25.740000000000002,m,896000,u2,2,24.11,53.169999999999995,23.24,32000,2,176429.53987890383,0.7255020904541015,0.05118417739868164,third_bitlogic_m_u2_seed0,third_bitlogic_cifar10,our-transfer,2,0,True,0.7184761660173535,512000,0.1036381721496582,0,8.744854072865564,128000
DlgnCifar10BitLogicRank2M,True,26.05,52.300000000000004,25.259999999999998,m,896000,u2,2,25.759999999999998,54.16,25.16,32000,2,170398.16613835824,0.7511817932128906,0.05118417739868164,third_bitlogic_m_u2_seed1,third_bitlogic_cifar10,our-transfer,2,1,True,0.6955454701092094,512000,0.1036381721496582,0,8.542842368533213,128000
DlgnCifar10BitLogicBestM,True,16.68,48.94,16.14,m,1792000,best,4,14.96,57.769999999999996,14.34,32000,2,20222.315564056604,6.32964111328125,0.5557956695556641,third_bitlogic_m_best_seed0,third_bitlogic_cifar10,reproduced-local,4,0,True,0.0,2560000,2.3724541664123535,2048000,41.2092521589327,512000
DlgnCifar10BitLogicBestM,True,16.57,55.35,16.08,m,1792000,best,4,14.44,57.50999999999999,13.38,32000,2,19741.07089571276,6.483944091796875,0.5557956695556641,third_bitlogic_m_best_seed1,third_bitlogic_cifar10,reproduced-local,4,1,True,0.0,2560000,2.3724541664123535,2048000,41.201899644519045,512000
DlgnCifar10BitLogicRank2L,True,25.05,45.72,24.86,l,3840000,random,2,22.97,47.63,22.54,128000,2,69594.36263468412,1.8392294311523438,0.20180559158325195,third_bitlogic_l_random_seed0,third_bitlogic_cifar10,reproduced-local,2,0,True,0.4538978801574558,2048000,0.41427087783813477,0,8.513011674466544,512000
DlgnCifar10BitLogicRank2L,True,25.27,46.839999999999996,25.080000000000002,l,3840000,random,2,21.19,50.44,21.14,128000,2,74576.22296852309,1.71636474609375,0.20180559158325195,third_bitlogic_l_random_seed1,third_bitlogic_cifar10,reproduced-local,2,1,True,0.43704428686760366,2048000,0.41427087783813477,0,8.52729463110057,512000
DlgnCifar10BitLogicRank2L,True,27.96,46.160000000000004,27.339999999999996,l,3840000,u2,2,24.060000000000002,53.169999999999995,24.14,128000,2,74330.30923881462,1.7220431518554689,0.20180559158325195,third_bitlogic_l_u2_seed0,third_bitlogic_cifar10,our-transfer,2,0,True,3.214638849021867,2048000,0.41427087783813477,0,8.580980060982984,512000
DlgnCifar10BitLogicRank2L,True,23.9,55.63,24.38,l,3840000,u2,2,22.939999999999998,54.87,21.98,128000,2,73708.29166966879,1.7365753173828125,0.20180559158325195,third_bitlogic_l_u2_seed1,third_bitlogic_cifar10,our-transfer,2,1,True,3.1939987670630217,2048000,0.41427087783813477,0,8.540809196648963,512000
DlgnCifar10BitLogicBestL,True,13.33,40.739999999999995,13.120000000000001,l,7680000,best,4,10.57,58.730000000000004,10.34,128000,2,7995.807252254886,16.008389892578126,2.215733528137207,third_bitlogic_l_best_seed0,third_bitlogic_cifar10,reproduced-local,4,0,True,0.0,10240000,9.456057071685791,8192000,190.1581100843187,2048000
DlgnCifar10BitLogicBestL,True,12.989999999999998,53.99,12.7,l,7680000,best,4,10.24,55.169999999999995,10.18,128000,2,8032.626416409056,15.93501220703125,2.215733528137207,third_bitlogic_l_best_seed1,third_bitlogic_cifar10,reproduced-local,4,1,True,0.0,10240000,9.456057071685791,8192000,138.78274068130025,2048000
