study,run,variant,seed,budget,depth,architecture,iterations,validation_hard_accuracy,validation_selection_step,test_hard_accuracy,inference_milliseconds_per_batch,training_wall_seconds,peak_gpu_memory_bytes,dense_gate_count,training_implementation_sha256
depth,depth_cifar10_budget48k_depth12_random_v3_seed1,random,1,48k,12,DlgnCifar10Budget48kDepth12,20000,0.11219999745488167,20000,,,284.67218772973865,103895040,48000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget48k_depth12_semantic_balanced_v3_seed1,v3,1,48k,12,DlgnCifar10Budget48kDepth12,20000,0.13599999710917474,20000,,,283.6906062369235,103895040,48000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget48k_depth12_random_v3_seed2,random,2,48k,12,DlgnCifar10Budget48kDepth12,20000,0.10739999681711197,20000,,,286.1361166499555,103895040,48000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,depth_cifar10_budget48k_depth12_semantic_balanced_v3_seed2,v3,2,48k,12,DlgnCifar10Budget48kDepth12,20000,0.11139999717473983,20000,,,283.62809820100665,103895040,48000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
depth,pilot_cifar10_medium_random_v3_seed0,random,0,512k,4,DlgnCifar10Medium,20000,0.5539999890327454,18000,,,458.85040653217584,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
depth,pilot_cifar10_medium_semantic_balanced_v3_seed0,v3,0,512k,4,DlgnCifar10Medium,20000,0.594799988269806,18000,,,458.53354154294357,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
depth,pilot_cifar10_medium_random_v3_seed1,random,1,512k,4,DlgnCifar10Medium,20000,0.5469999849796295,20000,,,463.128725789953,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
depth,pilot_cifar10_medium_semantic_balanced_v3_seed1,v3,1,512k,4,DlgnCifar10Medium,20000,0.5933999860286713,16000,,,463.44578750105575,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
depth,pilot_cifar10_medium_random_v3_seed2,random,2,512k,4,DlgnCifar10Medium,20000,0.5435999894142151,16000,,,461.3578310520388,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
depth,pilot_cifar10_medium_semantic_balanced_v3_seed2,v3,2,512k,4,DlgnCifar10Medium,20000,0.5905999875068665,20000,,,463.43881214084104,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
depth,depth_cifar10_budget512k_depth8_random_v3_seed0,random,0,512k,8,DlgnCifar10Budget512kDepth8,20000,0.4781999880075455,20000,,,459.99434337904677,1103505920,512000,8b580c2b6b6ec054aacf566a1ddc7739416d897ccedc8e338245895ef7ce7f1e
