step,v4_hard_validation,random_hard_validation,hard_delta_pp,v4_relaxed_validation,random_relaxed_validation,relaxed_delta_pp,v4_train_loss,random_train_loss
108000,0.7034,0.6862,1.7199999999999993,0.7248,0.7186,0.6199999999999983,0.16595855712890625,0.17574613571166992
110000,0.7102,0.6926,1.760000000000006,0.7222,0.7202,0.20000000000000018,0.16608942031860352,0.17533689498901367
112000,0.7018,0.6944,0.7399999999999962,0.726,0.7186,0.7399999999999962,0.1659044075012207,0.17520502090454104
114000,0.7068,0.6924,1.4399999999999968,0.724,0.7158,0.8199999999999985,0.1657957077026367,0.17490100860595703
116000,0.7062,0.6876,1.860000000000006,0.7238,0.7182,0.5600000000000049,0.1655204772949219,0.17503973007202148
118000,0.7108,0.6896,2.1199999999999997,0.7244,0.721,0.34000000000000696,0.16424270629882814,0.17409908294677734
120000,0.7086,0.6846,2.400000000000002,0.7256,0.7174,0.8199999999999985,0.1646903419494629,0.17388893127441407
122000,0.7072,0.695,1.22000000000001,0.7238,0.7162,0.7600000000000051,0.16456073760986328,0.17412208557128908
124000,0.7072,0.692,1.5200000000000102,0.7232,0.7156,0.759999999999994,0.164345588684082,0.17320707321166995
126000,0.7062,0.689,1.7200000000000104,0.7248,0.7154,0.9399999999999964,0.16378822326660156,0.17318592071533204
128000,0.7072,0.6954,1.1800000000000033,0.727,0.7172,0.9800000000000031,0.16342916488647463,0.1728133964538574
130000,0.7056,0.7012,0.43999999999999595,0.7248,0.7162,0.8600000000000052,0.16343448638916017,0.1729951858520508
132000,0.7104,0.6982,1.2199999999999989,0.7288,0.7198,0.9000000000000008,0.16326278686523438,0.17236604690551757
134000,0.7094,0.6918,1.760000000000006,0.7284,0.72,0.8400000000000074,0.16293745040893554,0.17255006790161134
136000,0.7104,0.6966,1.3800000000000034,0.7266,0.7174,0.9199999999999986,0.16259462356567383,0.17185113906860353
138000,0.7078,0.6964,1.1399999999999966,0.726,0.7172,0.880000000000003,0.16269708633422852,0.1718068313598633
140000,0.7056,0.6956,1.0000000000000009,0.7292,0.7176,1.1599999999999944,0.1623552131652832,0.17232254028320315
142000,0.7042,0.6998,0.44000000000000705,0.7258,0.7152,1.0600000000000054,0.16204166412353516,0.17167331695556642
144000,0.7108,0.6996,1.1199999999999988,0.7278,0.717,1.0800000000000032,0.16180620193481446,0.17146825790405273
146000,0.7088,0.6984,1.0399999999999965,0.7296,0.7174,1.2199999999999989,0.16168880462646484,0.17108776092529296
148000,0.7058,0.702,0.38000000000000256,0.7284,0.7172,1.1200000000000099,0.1615384292602539,0.1709153175354004
150000,0.7092,0.7026,0.660000000000005,0.7264,0.7176,0.880000000000003,0.16159383773803712,0.1711503028869629
152000,0.7086,0.7024,0.6199999999999983,0.7248,0.7208,0.40000000000000036,0.16166393280029295,0.17109897613525388
154000,0.7092,0.6984,1.0800000000000032,0.7258,0.718,0.7800000000000029,0.16095794677734376,0.1704545783996582
156000,0.7006,0.699,0.16000000000000458,0.7224,0.723,-0.05999999999999339,0.1615222930908203,0.17084022521972658
158000,0.7056,0.6994,0.6199999999999983,0.7248,0.7224,0.23999999999999577,0.16092079162597656,0.1701070785522461
160000,0.7044,0.7038,0.060000000000004494,0.726,0.7184,0.759999999999994,0.1606452751159668,0.17023578643798828
162000,0.7024,0.6916,1.0800000000000032,0.7268,0.718,0.880000000000003,0.1604252624511719,0.16985740661621093
164000,0.704,0.7068,-0.28000000000000247,0.7244,0.7194,0.5000000000000004,0.16088071823120115,0.16991626739501953
166000,0.7034,0.6988,0.46000000000000485,0.722,0.719,0.30000000000000027,0.1597273349761963,0.16928403854370117
168000,0.7058,0.7042,0.15999999999999348,0.7262,0.724,0.21999999999999797,0.16005849838256836,0.16968286514282227
170000,0.7048,0.699,0.5800000000000027,0.7236,0.7224,0.11999999999999789,0.15994240760803222,0.1693443298339844
172000,0.7064,0.697,0.9400000000000075,0.7264,0.72,0.6400000000000072,0.1600872039794922,0.16961490631103515
174000,0.7074,0.7006,0.6800000000000028,0.7278,0.7248,0.30000000000000027,0.15920426368713378,0.16873714447021484
176000,0.701,0.6978,0.31999999999999806,0.7224,0.7248,-0.23999999999999577,0.1599862766265869,0.16934255599975584
178000,0.7082,0.7052,0.30000000000000027,0.7244,0.724,0.0400000000000067,0.1595049476623535,0.16878755569458007
180000,0.7058,0.7012,0.45999999999999375,0.723,0.7256,-0.26000000000000467,0.15947274208068848,0.16877658843994142
182000,0.7082,0.6994,0.880000000000003,0.7216,0.7194,0.21999999999999797,0.15938262939453124,0.1686973190307617
184000,0.7058,0.696,0.9800000000000031,0.724,0.716,0.8000000000000007,0.15903199195861817,0.16845346450805665
186000,0.7066,0.7016,0.5000000000000004,0.725,0.725,0.0,0.1588075065612793,0.16868614196777346
188000,0.7082,0.6992,0.9000000000000008,0.7248,0.7196,0.5199999999999982,0.15905871391296386,0.16853851318359375
190000,0.7116,0.705,0.660000000000005,0.7248,0.7198,0.5000000000000004,0.15945325851440428,0.16842830657958985
192000,0.7084,0.6988,0.9600000000000053,0.7248,0.7216,0.31999999999999806,0.15870494842529295,0.1678154945373535
194000,0.7126,0.7014,1.1199999999999988,0.725,0.7212,0.38000000000000256,0.15878344535827638,0.1683049201965332
196000,0.7112,0.7026,0.8600000000000052,0.7284,0.7174,1.100000000000001,0.15815149307250975,0.16767383575439454
198000,0.7056,0.696,0.9600000000000053,0.7244,0.7236,0.08000000000000229,0.1585143280029297,0.1678072166442871
200000,0.7028,0.701,0.18000000000000238,0.729,0.721,0.8000000000000007,0.15870702743530274,0.16744174957275393
