name,architecture_label,depth,width_per_layer,family,seed,best_validation_hard_accuracy,wall_seconds,topology_construction_seconds,peak_gpu_memory_bytes,dense_gate_count,trainable_parameters,source_revision,training_implementation_sha256,configured_temperature,coverage_swap_fraction
pilot_table4_cifar100_384k_depth12_coverage_v3_seed0,depth12,12,32000,coverage_v3,0,0.011799999736249447,411.0290736280149,33.79288532002829,805763584,384000,6144000,a807fcd00520d27b7cc546992ea1d4913a529eeb,49742b6494915f810c3cc2d203e080e636b239c57fb5d6bec8fa8bc8994e9968,10.0,0.125
pilot_table4_cifar100_384k_depth12_random_seed0,depth12,12,32000,random,0,0.011799999698996543,409.0979421530501,1.1160163859603927,805763584,384000,6144000,a807fcd00520d27b7cc546992ea1d4913a529eeb,49742b6494915f810c3cc2d203e080e636b239c57fb5d6bec8fa8bc8994e9968,10.0,0.25
pilot_table4_cifar100_384k_depth24_coverage_v3_seed0,depth24,24,16000,coverage_v3,0,0.011999999731779098,574.2193127279752,42.42608141817618,776794624,384000,6144000,a807fcd00520d27b7cc546992ea1d4913a529eeb,49742b6494915f810c3cc2d203e080e636b239c57fb5d6bec8fa8bc8994e9968,10.0,0.125
pilot_table4_cifar100_384k_depth24_random_seed0,depth24,24,16000,random,0,0.011999999731779098,573.0468073370284,0.5637873021187261,776794624,384000,6144000,a807fcd00520d27b7cc546992ea1d4913a529eeb,49742b6494915f810c3cc2d203e080e636b239c57fb5d6bec8fa8bc8994e9968,10.0,0.25
pilot_table4_cifar100_384k_depth3_coverage_v3_seed0,depth3,3,128000,coverage_v3,0,0.21859999388456344,320.71102897200035,47.98454599903198,955124224,384000,6144000,a807fcd00520d27b7cc546992ea1d4913a529eeb,49742b6494915f810c3cc2d203e080e636b239c57fb5d6bec8fa8bc8994e9968,10.0,0.125
pilot_table4_cifar100_384k_depth3_random_seed0,depth3,3,128000,random,0,0.2107999938726425,319.90024125401396,3.3377558820066042,955124224,384000,6144000,a807fcd00520d27b7cc546992ea1d4913a529eeb,49742b6494915f810c3cc2d203e080e636b239c57fb5d6bec8fa8bc8994e9968,10.0,0.25
