dataset,strategy,step,n,hard_accuracy_mean,hard_accuracy_std,soft_accuracy_mean,soft_accuracy_std
cifar-10,random,2000,5,0.4433599877357483,0.00543212687780866,0.45415998888015746,0.002836898565537632
cifar-10,random,4000,5,0.4697599883079529,0.003912543862008638,0.47851998841762544,0.002220809986130635
cifar-10,random,6000,5,0.47915998721122743,0.0038403134361019147,0.48755998754501345,0.0020803845469413544
cifar-10,random,8000,5,0.4833199883699417,0.0011882752700657425,0.4908399875164032,0.001366748397329844
cifar-10,random,10000,5,0.4869599874019623,0.001417039939491514,0.49327998769283293,0.002066881090610422
cifar-10,random,12000,5,0.48651998829841614,0.0021428950243599183,0.4939199860095978,0.0014939882145964425
cifar-10,random,14000,5,0.4879999866485596,0.0027892654251094585,0.49403998696804047,0.002026818948371661
cifar-10,random,16000,5,0.48859998667240145,0.00467974326557442,0.493279988527298,0.002802142736937566
cifar-10,random,18000,5,0.49039998614788055,0.0020784619406714645,0.49351998829841615,0.0030906303703488497
cifar-10,random,20000,5,0.4901199861764908,0.0035059937324650246,0.49415998673439027,0.005034679981799521
cifar-10,random,22000,5,0.49031998646259306,0.004942873126172968,0.4931599878072739,0.004517520695857535
cifar-10,random,24000,5,0.4898399873971939,0.004421311441857258,0.49347998785972597,0.004989188729209114
cifar-10,random,26000,5,0.4880799871683121,0.004038811353834176,0.49299998581409454,0.0037735921236511346
cifar-10,random,28000,5,0.4905599892139435,0.0023298073207818374,0.4935199879407883,0.0036704217806642326
cifar-10,random,30000,5,0.49259998750686645,0.002449490326787524,0.4936799874305725,0.004046233202499108
cifar-10,random,32000,5,0.49227998650074006,0.0016161677256551965,0.49275998711586,0.004403181063726449
cifar-10,random,34000,5,0.49163998758792876,0.003945630441919282,0.4927999875545502,0.003527038763470441
cifar-10,random,36000,5,0.4930399878025055,0.004669902680361746,0.49355998742580415,0.003553590820429738
cifar-10,random,38000,5,0.49215998792648313,0.004725251288972787,0.4933999876976013,0.003984973203744167
cifar-10,random,40000,5,0.49187998747825623,0.005386279603226714,0.4934399883747101,0.004581266996656737
cifar-10,random,42000,5,0.49191998744010923,0.005912022656694977,0.494719987988472,0.003454273932800918
cifar-10,random,44000,5,0.4919199877977371,0.006334982669478596,0.4939599883556366,0.004099756773212545
cifar-10,random,46000,5,0.49191998863220215,0.005319023831778898,0.49415998804569244,0.004475266591928433
cifar-10,random,48000,5,0.4915999882221222,0.00614979831357132,0.49367998814582825,0.004838596098868814
cifar-10,random,50000,5,0.4920799868106842,0.006132862305690824,0.49467998826503756,0.005682605477255312
cifar-10,random,52000,5,0.4928799877166748,0.005576021235463426,0.4944799865484238,0.005698422359428984
cifar-10,random,54000,5,0.49119998812675475,0.006607571747896185,0.494359987616539,0.006366161480724107
cifar-10,random,56000,5,0.49311998796463014,0.005584980707604977,0.4955599868297577,0.006240833867283319
cifar-10,random,58000,5,0.49215998673439026,0.006714759792369095,0.49519998621940614,0.006190315554268386
cifar-10,random,60000,5,0.4919599859714508,0.005581040097954,0.4952399861812592,0.005988990032614541
cifar-10,random,62000,5,0.4923599857091904,0.0047631943203591594,0.49519998705387114,0.00662268805757791
cifar-10,random,64000,5,0.49175998723506925,0.005344904612634881,0.495199986577034,0.0047833052432780685
cifar-10,random,66000,5,0.49267998719215395,0.004201429247405236,0.49507998788356783,0.005622455413483913
cifar-10,random,68000,5,0.4940399864912033,0.006042184344424844,0.49575998711586,0.005870945585146554
cifar-10,random,70000,5,0.4929599874019623,0.00532991580385804,0.4953999881744385,0.005398147319939029
cifar-10,random,72000,5,0.4928399872779846,0.006169927793572086,0.49587998747825623,0.0056010705082625645
cifar-10,random,74000,5,0.4929199860095978,0.005264220315861663,0.4969199873209,0.005330292031195013
cifar-10,random,76000,5,0.4939999862909317,0.005283938097812924,0.4967199878692627,0.0056649806349409705
cifar-10,random,78000,5,0.49379998695850374,0.006460651784205009,0.49647998774051666,0.005903558956490738
cifar-10,random,80000,5,0.49331998801231386,0.005556257194325674,0.49603998839855196,0.005715593273018948
cifar-10,random,82000,5,0.4948399871587753,0.00625683690933758,0.49723998808860775,0.005781695029951254
cifar-10,random,84000,5,0.49363998711109164,0.006347283087889626,0.4959999871253967,0.005805170430853232
cifar-10,random,86000,5,0.493799987077713,0.005808614807296111,0.49599998700618747,0.0062016130360272115
cifar-10,random,88000,5,0.49303998816013334,0.006731121386589585,0.4963599872589111,0.006173168320518825
cifar-10,random,90000,5,0.49215998768806457,0.006453526140505579,0.4966799882650375,0.005705436309091337
cifar-10,random,92000,5,0.4931199872493744,0.006473948338835235,0.4960799890756607,0.005363953379480422
cifar-10,random,94000,5,0.4923599872589111,0.00647363922294694,0.4961999883651733,0.005887274573195852
cifar-10,random,96000,5,0.4927999881505966,0.00638748955324552,0.49619998812675475,0.006334035520109104
cifar-10,random,98000,5,0.493999986410141,0.005958188714315801,0.49615998625755314,0.00584705074129783
cifar-10,random,100000,5,0.4931999876499176,0.0067867503077095725,0.4962399874925613,0.005105682616724226
cifar-10,random,102000,5,0.49323998749256137,0.006678922494156692,0.49515998816490175,0.005652255654493152
cifar-10,random,104000,5,0.4925999871492386,0.005147815082072779,0.4951999868154526,0.00505371116961059
cifar-10,random,106000,5,0.4916799863576889,0.006603939919471492,0.49547998678684235,0.005574226438457148
cifar-10,random,108000,5,0.4925599858760834,0.006538194737946388,0.4947999875545502,0.004810406884632383
cifar-10,semantic-balanced-v3,2000,5,0.47659998762607575,0.003969886991180254,0.48623998880386354,0.004102195626591401
cifar-10,semantic-balanced-v3,4000,5,0.5013199878931045,0.002269802721606757,0.5090399860143662,0.00442583258948065
cifar-10,semantic-balanced-v3,6000,5,0.511319986820221,0.0011278289894769908,0.5181599861383438,0.00145189616167844
cifar-10,semantic-balanced-v3,8000,5,0.5144799867868424,0.004286258868255755,0.5206399878263474,0.0012361234414611376
cifar-10,semantic-balanced-v3,10000,5,0.5186399886608124,0.004731596037280691,0.5236799874305725,0.002435569694406639
cifar-10,semantic-balanced-v3,12000,5,0.5186799873113632,0.004755207246773837,0.5227999866008759,0.004254412242827946
cifar-10,semantic-balanced-v3,14000,5,0.5195599875450134,0.005767841113312757,0.5243999873399735,0.00426614577080339
cifar-10,semantic-balanced-v3,16000,5,0.5210399874448776,0.004596519660000956,0.5243599880933761,0.004488652347479797
cifar-10,semantic-balanced-v3,18000,5,0.5205199865102768,0.004834458970004916,0.524639987707138,0.003983466698669918
cifar-10,semantic-balanced-v3,20000,5,0.521639986872673,0.00412649943490271,0.5261199868917465,0.003348431408299077
cifar-10,semantic-balanced-v3,22000,5,0.5231599879264831,0.0018406509797852777,0.5271999876499176,0.003310588920934013
cifar-10,semantic-balanced-v3,24000,5,0.5240399881601333,0.0024347483331788457,0.527439987540245,0.0029543182540943884
cifar-10,semantic-balanced-v3,26000,5,0.5259599875211716,0.0020268202746712228,0.5275999882221222,0.002789264645129779
cifar-10,semantic-balanced-v3,28000,5,0.5250399879217148,0.002434747669748544,0.5273999882936478,0.003671511508888364
cifar-10,semantic-balanced-v3,30000,5,0.5252799880504608,0.003366303846068639,0.5275199873447418,0.0036155230179554746
cifar-10,semantic-balanced-v3,32000,5,0.5261999852657318,0.0035298732305115194,0.5272399883270263,0.0031093400532663192
cifar-10,semantic-balanced-v3,34000,5,0.5267999869585037,0.0027856780050609406,0.5267999877929688,0.0038444760227718086
cifar-10,semantic-balanced-v3,36000,5,0.5245599893331527,0.004109500199881063,0.5260399874448777,0.005354249941088759
cifar-10,semantic-balanced-v3,38000,5,0.5244799878597259,0.0027985730529542048,0.5266399878263474,0.004421311923137125
cifar-10,semantic-balanced-v3,40000,5,0.5249199887514114,0.003523067351799225,0.5263199882507325,0.004437567919414019
cifar-10,semantic-balanced-v3,42000,5,0.5244399876594543,0.0035704346369385903,0.5270399883985519,0.004092430883790486
cifar-10,semantic-balanced-v3,44000,5,0.5251599879264832,0.003166699590604986,0.5275599889755249,0.004172288071774477
cifar-10,semantic-balanced-v3,46000,5,0.525319986820221,0.004274576700234813,0.5273599891662598,0.0038791738030407113
cifar-10,semantic-balanced-v3,48000,5,0.525799987077713,0.003906404445190327,0.5268399891853333,0.004143428804081409
cifar-10,semantic-balanced-v3,50000,5,0.5246799861192704,0.005944072291705015,0.5273199878931045,0.004500222440149452
cifar-10,semantic-balanced-v3,52000,5,0.5253599864244461,0.003798421086190716,0.5266799869537354,0.004258169979439162
cifar-10,semantic-balanced-v3,54000,5,0.5251599872112275,0.004796665170112823,0.5269999886751175,0.004485532611737499
cifar-10,semantic-balanced-v3,56000,5,0.5266399873495102,0.004184255952345628,0.5271599872112275,0.0046290390494699496
cifar-10,semantic-balanced-v3,58000,5,0.5252399879693985,0.004495330162875937,0.5273999886512757,0.0038236099014108296
cifar-10,semantic-balanced-v3,60000,5,0.5271999897956848,0.004656177405745614,0.5286399887800217,0.004468556000506828
cifar-10,semantic-balanced-v3,62000,5,0.5255199875831604,0.0033244561454022683,0.5282399878501892,0.004403179184829805
cifar-10,semantic-balanced-v3,64000,5,0.5267999873161316,0.003566510256267716,0.5284399884939194,0.004329896078603115
cifar-10,semantic-balanced-v3,66000,5,0.5266399872303009,0.003550774322872678,0.5279199876785278,0.004218055581254261
cifar-10,semantic-balanced-v3,68000,5,0.5251199878454208,0.0024149527490035195,0.528639988899231,0.0039227554973675464
cifar-10,semantic-balanced-v3,70000,5,0.5259599893093109,0.0015059882263399216,0.5287199882268906,0.003514541833531579
cifar-10,semantic-balanced-v3,72000,5,0.527839989066124,0.0012441866551965877,0.5295199885368347,0.0028899828302478415
cifar-10,semantic-balanced-v3,74000,5,0.5284799876213073,0.0024066567155018957,0.5295199877023696,0.0035173873353837887
cifar-10,semantic-balanced-v3,76000,5,0.5281199886798859,0.0022873567949091844,0.5292799881696701,0.0033811244716371175
cifar-10,semantic-balanced-v3,78000,5,0.526799987077713,0.0030822055607815767,0.5291999894380569,0.003325658511442208
cifar-10,semantic-balanced-v3,80000,5,0.5272799874544144,0.002613809391224986,0.5293599879741668,0.003128578309741287
cifar-10,semantic-balanced-v3,82000,5,0.5281599876880646,0.002237857570421767,0.5299199877977372,0.003151507802478489
cifar-10,semantic-balanced-v3,84000,5,0.5277199869155884,0.002571382750894864,0.5290799880027771,0.0033454444596244916
cifar-10,semantic-balanced-v3,86000,5,0.5275999875068664,0.0010677082304941792,0.5288399876356125,0.002566710534392145
cifar-10,semantic-balanced-v3,88000,5,0.5277199882268906,0.002207260979341426,0.5302399882078171,0.003626016364436519
cifar-10,semantic-balanced-v3,90000,5,0.52807998919487,0.0013160554115668184,0.5297199883460999,0.0028968936183791567
cifar-10,semantic-balanced-v3,92000,5,0.527599987745285,0.0010862773698240625,0.529639988064766,0.00358161897233242
cifar-10,semantic-balanced-v3,94000,5,0.5267999864816666,0.001726267160559572,0.529719988822937,0.0038641935151840574
cifar-10,semantic-balanced-v3,96000,5,0.5279999891519547,0.002097617883882513,0.529439987540245,0.0039405568681317995
cifar-10,semantic-balanced-v3,98000,5,0.5277599864006043,0.0018077611784382901,0.5290399881601333,0.004252998763824077
cifar-10,semantic-balanced-v3,100000,5,0.5276399866342545,0.001583667816101938,0.5290399881601333,0.003207491874298238
cifar-10,semantic-balanced-v3,102000,5,0.5270399860143662,0.0029543178425160813,0.5295999888181686,0.0029257493371597776
cifar-10,semantic-balanced-v3,104000,5,0.5287599878311158,0.002977918424297575,0.528919988155365,0.003015294998060033
cifar-10,semantic-balanced-v3,106000,5,0.5286399888992309,0.002651037149442865,0.5300399887561799,0.0031855912480364228
cifar-10,semantic-balanced-v3,108000,5,0.5277599875926972,0.0019152029651037128,0.5292399870157242,0.0034825283473027477
fashion-mnist,hybrid-v2,2000,3,0.8403333107630412,0.007264831025598609,0.8571110884348552,0.0029642913583752275
fashion-mnist,hybrid-v2,4000,3,0.8536110904481676,0.007118702334402385,0.8732777582274542,0.002238138487352928
fashion-mnist,hybrid-v2,6000,3,0.8643888695372476,9.622552664864561e-05,0.8744444244437748,0.0017821125726816412
fashion-mnist,hybrid-v2,8000,3,0.8644444243775474,0.00293604597369136,0.8758333139949375,0.002587361485669034
fashion-mnist,hybrid-v2,10000,3,0.8632221986850103,0.0031812531229404913,0.877777757247289,0.002594510110892594
fashion-mnist,hybrid-v2,12000,3,0.8673888693253199,0.002714840564885415,0.8777777582406998,0.0005357570920828703
fashion-mnist,hybrid-v2,14000,3,0.8683333138624827,0.005251982242782312,0.8786666472752889,0.0018559226282924282
fashion-mnist,hybrid-v2,16000,3,0.8690555350648033,0.00576467657113796,0.8783333139287101,0.002488862112754698
fashion-mnist,hybrid-v2,18000,3,0.8701666467719608,0.0020207288901914642,0.877111092209816,0.002839859372163896
fashion-mnist,hybrid-v2,20000,3,0.8723888678683175,0.0047032298483227165,0.8771666467189789,0.002886748592928196
fashion-mnist,hybrid-v2,22000,3,0.8724444213840696,0.0013574189915639002,0.878388868437873,0.0026474994297191736
fashion-mnist,hybrid-v2,24000,3,0.8714444230000178,0.001750662134693117,0.8767777575386895,0.004137674130288485
fashion-mnist,hybrid-v2,26000,3,0.8709999779860179,0.0014813665029452805,0.8770555337270101,0.003513198978731226
fashion-mnist,hybrid-v2,28000,3,0.8703333116239972,0.0010929070448718224,0.8761110918389426,0.0028738911896993556
fashion-mnist,hybrid-v2,30000,3,0.8696666479110717,0.003278719846917527,0.8759999791781108,0.002204791407514275
fashion-mnist,hybrid-v2,32000,3,0.8677222023407618,0.005012022130438177,0.876611089375284,0.0033761119377890498
fashion-mnist,hybrid-v2,34000,3,0.8686666435665554,0.002962731385260723,0.8750555336475372,0.0015030812667265526
fashion-mnist,hybrid-v2,36000,3,0.8697222007645501,0.004001155486316393,0.8754444244835112,0.0019172695721653892
fashion-mnist,hybrid-v2,38000,3,0.8686110893885295,0.0022194425291112486,0.8746110916137696,0.0022628240520513807
fashion-mnist,hybrid-v2,40000,3,0.8709999796417024,0.0038115327438437117,0.875333313147227,0.00231540930660646
fashion-mnist,hybrid-v2,42000,3,0.8708333134651184,0.002455153868822967,0.8751110914680693,0.002657973523190803
fashion-mnist,hybrid-v2,44000,3,0.8703888681199816,0.004460733185213065,0.8748888687955009,0.003952260616056655
fashion-mnist,hybrid-v2,46000,3,0.8705555356211132,0.004276335262049787,0.8752222011486689,0.0032332207699763797
fashion-mnist,hybrid-v2,48000,3,0.8718888693385654,0.0012285192862775904,0.8745555341243744,0.003309638922727586
fashion-mnist,hybrid-v2,50000,3,0.8702222035990821,0.003952263108634086,0.8741110914283329,0.0034654390343858087
fashion-mnist,hybrid-v2,52000,3,0.8713333146439658,0.0021278599616839115,0.8743888679477904,0.003952261796016102
fashion-mnist,hybrid-v2,54000,3,0.8713888698154025,0.002358986517779338,0.8744444217946794,0.004438885331752891
fashion-mnist,hybrid-v2,56000,3,0.8710555344820022,0.003834545074133837,0.874166644944085,0.004072263662864974
fashion-mnist,hybrid-v2,58000,3,0.8698333114385605,0.0036552858892890715,0.8742777549558216,0.003994207787150476
fashion-mnist,hybrid-v2,60000,3,0.8717777593268289,0.003622204179263161,0.8758888694975111,0.004164444226847981
fashion-mnist,hybrid-v2,62000,3,0.8699999792708291,0.004752193867291463,0.8742777579360538,0.00313729132988049
fashion-mnist,hybrid-v2,64000,3,0.870722202791108,0.0034694428075026486,0.875333313147227,0.003403426615927609
fashion-mnist,hybrid-v2,66000,3,0.8716666443480385,0.004918782267316757,0.8751666476329167,0.004186621744664055
fashion-mnist,hybrid-v2,68000,3,0.8713333119948705,0.005341139319267391,0.8746110926071803,0.004504112800380529
fashion-mnist,hybrid-v2,70000,3,0.8694999790853924,0.004381148420007657,0.8748333119683795,0.004481442806867886
fashion-mnist,hybrid-v2,72000,3,0.8709444221523073,0.0034251241981401357,0.874888868133227,0.00467360675549293
fashion-mnist,hybrid-v2,74000,3,0.8709999783171548,0.005494949948410757,0.8754999803172218,0.0039051235940047104
fashion-mnist,hybrid-v2,76000,3,0.8711110906468498,0.006604572244746304,0.8751110908057955,0.004015018370585378
fashion-mnist,hybrid-v2,78000,3,0.8706666443083021,0.005487357749485882,0.875055534640948,0.004090412923033642
fashion-mnist,hybrid-v2,80000,3,0.8716110908322864,0.0036980958805630723,0.8758888685041004,0.0034047878340408826
fashion-mnist,hybrid-v2,82000,3,0.8704999791251288,0.0053567182995457145,0.8752222014798058,0.004473172424333533
fashion-mnist,hybrid-v2,84000,3,0.8719999786880281,0.006062179501245334,0.8749999811251958,0.0043429366958119935
fashion-mnist,hybrid-v2,86000,3,0.8721110916799969,0.005500842921691335,0.8754444258080588,0.0038526097188629777
fashion-mnist,hybrid-v2,88000,3,0.87061109079255,0.005642926046472043,0.8761666473415163,0.003480101419844172
fashion-mnist,hybrid-v2,90000,3,0.8726666470368704,0.004358900028364037,0.8757777584923638,0.0035642250524566673
fashion-mnist,hybrid-v2,92000,3,0.8706666466262606,0.006244998803307894,0.8750555356343588,0.003959284147597432
fashion-mnist,hybrid-v2,94000,3,0.8704999807808135,0.003940529805565619,0.8753333124849532,0.0040551767056171955
fashion-mnist,hybrid-v2,96000,3,0.8707777576314079,0.004945066548248449,0.8756666461626689,0.0039193267336692286
fashion-mnist,hybrid-v2,98000,3,0.8707222017976972,0.0048314161097282315,0.8751110917992062,0.0041410323986898106
fashion-mnist,hybrid-v2,100000,3,0.8708888699611028,0.004442012547285635,0.8759444263246324,0.004097200808855914
fashion-mnist,hybrid-v2,102000,3,0.8718333125114441,0.004910307063273017,0.8754999803172218,0.0039051260106747684
fashion-mnist,hybrid-v2,104000,3,0.8709999786482917,0.0038441889476925873,0.875944424337811,0.0028690564532489857
fashion-mnist,hybrid-v2,106000,3,0.8714999794960022,0.0026457523548822715,0.8754444244835112,0.0033096393813004028
fashion-mnist,hybrid-v2,108000,3,0.870999977323744,0.0037675510456288376,0.8745555347866483,0.003250358032003491
fashion-mnist,random,2000,5,0.8383333140611648,0.004250816775512268,0.8580333111683528,0.00404385905530758
fashion-mnist,random,4000,5,0.8545333115259807,0.004158991441510112,0.8702999780575434,0.0021965894551816195
fashion-mnist,random,6000,5,0.8586333123842875,0.00458621036563393,0.8737666473786037,0.003750183676972424
fashion-mnist,random,8000,5,0.8599333133300145,0.0033512022301516713,0.8755666476488113,0.0034852867751539196
fashion-mnist,random,10000,5,0.8642666441202164,0.0037557356480494596,0.8768333160877227,0.0034176833677289817
fashion-mnist,random,12000,5,0.8660333130757014,0.005043422813274206,0.8763333133856456,0.0033623735682593767
fashion-mnist,random,14000,5,0.8660999774932862,0.002203532963189231,0.8758333138624828,0.003906904315825651
fashion-mnist,random,16000,5,0.8672999781370163,0.0031872146180548628,0.8765333129962286,0.0028925198197887786
fashion-mnist,random,18000,5,0.8682999789714813,0.0021615326032941246,0.8757666480541229,0.002583603886183729
fashion-mnist,random,20000,5,0.8690666468938192,0.003159202097689879,0.8758333122730255,0.00240658935889691
fashion-mnist,random,22000,5,0.8687999790906906,0.0019343392425168072,0.8759333131710688,0.002490536589458295
fashion-mnist,random,24000,5,0.8686666458845139,0.0023950166955238263,0.8752333134412765,0.0024083198776884943
fashion-mnist,random,26000,5,0.8680666440725326,0.0037741819702578634,0.8760666463772456,0.004134206216192474
fashion-mnist,random,28000,5,0.8683333132664363,0.003551212479048853,0.8755333125591278,0.003810438355387316
fashion-mnist,random,30000,5,0.8679333126544952,0.004323065495744302,0.8752999796470006,0.0033048782375756035
fashion-mnist,random,32000,5,0.8689666465918223,0.0022279777382189035,0.8750666459401448,0.0030677535759139206
fashion-mnist,random,34000,5,0.8688666452964147,0.0021711501394656232,0.8743999787171681,0.002959448471352507
fashion-mnist,random,36000,5,0.8688666462898255,0.0020996037449337586,0.8744999800125758,0.0028746954686377003
fashion-mnist,random,38000,5,0.8704666451613108,0.002177538274690279,0.8744666467110316,0.0019734333118507563
fashion-mnist,random,40000,5,0.8687666443983714,0.0034693099719302315,0.8741999787092208,0.002227977927718977
fashion-mnist,random,42000,5,0.8704333130518596,0.00385068506120908,0.8750333116451899,0.0029660113744317965
fashion-mnist,random,44000,5,0.8696333118279775,0.004288875523027849,0.874399978518486,0.0032842211963674105
fashion-mnist,random,46000,5,0.8689666442076365,0.0032002610997470815,0.8745333135128021,0.003012474386590964
fashion-mnist,random,48000,5,0.8704999780654907,0.003615168304270293,0.8746333122253418,0.0022833936027542613
fashion-mnist,random,50000,5,0.8705333111683528,0.002401966333008906,0.8745999783277512,0.002842142663683479
fashion-mnist,random,52000,5,0.8713666458924612,0.005239275359019579,0.8746666459242503,0.003709971814688129
fashion-mnist,random,54000,5,0.8719333130121231,0.002795334629541851,0.8755999803543091,0.0034026147109932807
fashion-mnist,random,56000,5,0.8709666444857915,0.003964072347932728,0.8746666461229324,0.0029226135696290437
fashion-mnist,random,58000,5,0.8712333128849665,0.0032821060318447086,0.8756333134571711,0.00268586952962406
fashion-mnist,random,60000,5,0.8710999780893326,0.0027903596938238006,0.875133313536644,0.0031122517355466747
fashion-mnist,random,62000,5,0.8702999798456827,0.0029259360189448093,0.875633313258489,0.0021965889463987304
fashion-mnist,random,64000,5,0.8710999784866968,0.004232152325616185,0.8758999796708424,0.0027350610027530083
fashion-mnist,random,66000,5,0.8711333119869232,0.0028171095510950853,0.8751333133379618,0.002599144718314214
fashion-mnist,random,68000,5,0.8704666471481324,0.0026651036209147253,0.8748333136240641,0.002552233142738571
fashion-mnist,random,70000,5,0.8705999791622162,0.002110159977194328,0.8750999796390534,0.001789631005571817
fashion-mnist,random,72000,5,0.870833312869072,0.00410453674339071,0.8748333126306533,0.0019002932203073752
fashion-mnist,random,74000,5,0.8710999808708827,0.003801681829443019,0.8751666464408239,0.0015320646633930875
