protocol,step,fixed_random_hard_validation_mean_percent,fixed_random_hard_validation_std_percent,frozen_v4_hard_validation_mean_percent,frozen_v4_hard_validation_std_percent,unified_u1_hard_validation_mean_percent,unified_u1_hard_validation_std_percent,v4_minus_random_pp,u1_minus_random_pp
paper_faithful_s,2000,47.192,1.6933162728799385,48.748000000000005,0.9200652150798895,48.756,0.8729719354022769,1.5560000000000045,1.564
paper_faithful_s,4000,52.048,0.7167426316328589,53.184,0.5620320275571481,52.92,0.9270382947861441,1.1359999999999957,0.8719999999999999
paper_faithful_s,6000,53.592,1.1444299891212213,54.7,0.48476798574163515,54.69199999999999,0.43762998069145337,1.108000000000004,1.0999999999999943
paper_faithful_s,8000,54.428,0.6977965319489625,55.776,0.343627705518634,55.504,0.29913207785191104,1.348000000000006,1.0760000000000005
paper_faithful_s,10000,55.1,0.8709764635166649,56.1,0.7683749084919409,55.983999999999995,0.5014778160596901,1.0,0.8839999999999932
paper_faithful_s,12000,55.956,0.29441467354736095,56.448,1.0671082419323707,56.444,0.5975617122942195,0.49199999999999733,0.48799999999999955
paper_faithful_s,14000,56.275999999999996,0.7284778651407318,56.572,0.9279655166006995,56.676,0.5258136552049619,0.2960000000000065,0.4000000000000057
paper_faithful_s,16000,56.224000000000004,0.4116794869798628,56.692,1.1001454449298973,56.732,0.5125621913485224,0.4679999999999964,0.5079999999999956
paper_faithful_s,18000,56.376,0.59672439199349,57.084,1.169221963529596,57.192,1.0647628844019696,0.7080000000000055,0.8160000000000025
paper_faithful_s,20000,56.628,0.6746258222155445,57.088,1.5170102175001996,57.284,0.9586866015544404,0.46000000000000085,0.6559999999999988
