family,seed_count,seeds,mean_best_validation_hard_accuracy,std_best_validation_hard_accuracy,mean_wall_seconds,max_peak_gpu_memory_bytes
raw_random,3,"0,1,2",0.5562666541337967,0.005021287571262877,1261.165614807668,2917583360
raw_v3,3,"0,1,2",0.6090666532516479,0.0031005363033780806,1261.4354121563374,2917583360
warp_random,3,"0,1,2",0.5420666555563609,0.0013316631153752884,1358.5417184219987,3187919360
warp_v3,3,"0,1,2",0.5981333210070928,0.0024193677538853703,1359.3835304759948,3187919360
