depth,in_channels,out_kernels,changed_output_pair_fraction_mean,pair_multiset_jaccard_mean,no_swap_duplicate_groups,v4_duplicate_groups,no_swap_pair_span_mean,v4_pair_span_mean,no_swap_predecessor_jaccard_mean,v4_predecessor_jaccard_mean,no_swap_raw_ancestry_mean,v4_raw_ancestry_mean
0,9,32,0.08333333333333333,0.8687830687830688,5,4.666666666666667,2.8541666666666665,2.9375,0.0,0.0,2.0,2.0
1,32,128,0.203125,0.6660536972930861,48,31.666666666666668,5.625,6.984375,0.12499999999999999,0.125,3.625,3.625
2,128,512,0.10677083333333333,0.8073048249575548,64,51.333333333333336,16.375,19.591145833333332,0.26358506944444443,0.2660404265873016,5.828125,5.824869791666667
3,512,1024,0.020833333333333332,0.9592233907202927,0,0,30.0,32.76953125,0.4851859602347883,0.4855982866236772,7.894205729166667,7.885091145833333
