family,candidate,provenance,seed_count,seeds,mean_best_validation_hard_accuracy,std_best_validation_hard_accuracy,mean_wall_seconds,max_peak_gpu_memory_bytes,dense_gate_count,trainable_parameters,training_routing_parameters,deployed_routing_bits,architecture,parametrization,mean_test_hard_accuracy,std_test_hard_accuracy,mean_test_relaxed_accuracy
random,random,REPRODUCED,5,"0,1,2,3,4",0.5075999864339829,0.004458698171085269,746.4599162848056,302201344,128000,2048000,0,3776000,DlgnCifar10Budget128k,raw,0.49747998869419097,0.0014131517311500596,0.5041399880051612
coverage_v3,v3_swap0500,OUR-FINAL,5,"0,1,2,3,4",0.5513999863862992,0.003364520774984895,746.2096240491985,302201344,128000,2048000,0,3776000,DlgnCifar10Budget128k,raw,0.5390999884009361,0.00281513829412062,0.5462999866604805
