run,variant,architecture,dataset,strategy,seed,data_split_seed,topology_seed,candidate_pool_size,long_range_fraction,gamma,hard_accuracy,soft_accuracy,soft_hard_gap,selection_step,evaluation_count,test_hard_accuracy,test_soft_accuracy,test_soft_hard_gap,gate_count,trainable_gate_logits,deployed_gate_function_bits,final_input_coverage,final_mean_gate_ancestry,final_overlap_mean,final_fanout_cv,final_fanout_max,final_unused_outputs,first_same_source_pair_fraction,first_same_threshold_pair_fraction,first_same_channel_pair_fraction,first_spatial_manhattan_p50,final_mean_source_ancestry,final_source_cross_gate_jaccard,final_source_group_coverage_min,final_source_group_usage_cv_mean,distinct_pairs,deployed_index_bits,deployed_total_circuit_bits,indices_tensor_bytes,topology_construction_seconds,topology_peak_temporary_bytes,training_wall_seconds,peak_gpu_memory_bytes,inference_milliseconds_per_batch,inference_examples_per_second,source_revision,recorded_source_tree_sha256,python,torch,cuda_build
paper_cifar10_small_semantic_balanced_v3_seed2,v3,DlgnCifar10Small,cifar-10,semantic_balanced_hybrid,2,2027,2,8,0.25,0.25,0.5305999886989593,0.5327999883890152,0.0021999996900559093,82000,54,0.5208999863266945,0.522299988269806,0.0014000019431114064,48000,768000,192000,1.0,15.993,0.0016666666666666668,0.0,2,0,0.0,0.9166666666666666,0.9166666666666666,4.0,15.976166666666666,0.0025720278843524855,0.9977213541666666,0.39067907669405777,12000,1344000,1536000,768000,9.387672848533839,9408000,718.7412295332178,113936896,0.7750502777099609,129023.88770889773,c1102f9953dedb331f24925e49262550ed12485c,3b7662c118fce05a79c1d990e92c6367f378bb5168f2d1c6db842c92d0cd5b59,3.12.13,2.9.0+cu130,13.0
paper_cifar10_small_semantic_balanced_v3_seed3,v3,DlgnCifar10Small,cifar-10,semantic_balanced_hybrid,3,2027,3,8,0.25,0.25,0.5313999855518341,0.5293999880552291,-0.001999997496604955,32000,54,0.5204999879002571,0.5227999857068062,0.0022999978065491034,48000,768000,192000,1.0,15.994666666666667,0.0015,0.0,2,0,0.0,0.9166666666666666,0.9166666666666666,4.0,15.9775,0.0025689403139373033,0.9970703125,0.38828194185198334,12000,1344000,1536000,768000,9.350757423322648,9408000,738.3477721158415,113936896,0.7949766540527343,125789.85746336967,c1102f9953dedb331f24925e49262550ed12485c,dd1ab4457e0d11ba5fee21435e446107852b2b4b24308e2d60fb7fb74ae4ceb5,3.12.13,2.9.0+cu130,13.0
paper_cifar10_small_semantic_balanced_v3_seed4,v3,DlgnCifar10Small,cifar-10,semantic_balanced_hybrid,4,2027,4,8,0.25,0.25,0.5309999877214432,0.5301999872922898,-0.0008000004291534024,60000,54,0.5256999868154526,0.5242999860644341,-0.0014000007510185375,48000,768000,192000,1.0,15.99275,0.0030833333333333333,0.0,2,0,0.0,0.9166666666666666,0.9166666666666666,4.0,15.975583333333333,0.0022977072591833132,0.9983723958333334,0.3516769741594,12000,1344000,1536000,768000,9.381960849277675,9408000,737.1473019239493,113936896,0.7991497802734375,125132.98816873095,c1102f9953dedb331f24925e49262550ed12485c,dd1ab4457e0d11ba5fee21435e446107852b2b4b24308e2d60fb7fb74ae4ceb5,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_hybrid_f000_v2_seed0,v2,DlgnFashionMnistPaperSmall,fashion-mnist,coverage_hybrid,0,2027,0,64,0.0,0.25,0.8746666481097539,0.8768333146969477,0.0021666665871937774,100000,54,,,,48000,768000,192000,1.0,63.120625,0.456125,0.0,2,0,,,,,,,,,8000,1232000,1424000,768000,0.025570767931640148,4864000,892.7167029678822,106689536,,,c1102f9953dedb331f24925e49262550ed12485c,c3275c2861def7a881f816f22543ef55c4119f8f5e157929c86285a27de18fa4,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_hybrid_f050_v2_seed0,v2,DlgnFashionMnistPaperSmall,fashion-mnist,coverage_hybrid,0,2027,0,64,0.5,0.25,0.8729999850193659,0.8738333106040954,0.0008333255847294829,94000,54,,,,48000,768000,192000,1.0,63.68975,0.31025,0.31064449134018135,4,477,,,,,,,,,8000,1232000,1424000,768000,4.871088276617229,4864000,893.1036552689038,106689536,,,c1102f9953dedb331f24925e49262550ed12485c,df9a61f654c101247734b6d5fbd3d88b6c4eb83b8819174d0e6d6901f063e263,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_hybrid_f075_v2_seed0,v2,DlgnFashionMnistPaperSmall,fashion-mnist,coverage_hybrid,0,2027,0,64,0.75,0.25,0.8769999792178472,0.8789999773104985,0.0019999980926512784,98000,54,,,,48000,768000,192000,1.0,63.886,0.114,0.23062415311497622,3,185,,,,,,,,,8000,1232000,1424000,768000,7.267633070703596,4864000,865.6631441880018,106689536,,,c1102f9953dedb331f24925e49262550ed12485c,6bd1105abd3f4fb4f92563d1539484e36c55be2759d967debd255cda47ea90e6,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_hybrid_f100_v2_seed0,v2,DlgnFashionMnistPaperSmall,fashion-mnist,coverage_hybrid,0,2027,0,64,1.0,0.25,0.8751666456460953,0.8746666500965754,-0.0004999955495198494,36000,54,,,,48000,768000,192000,1.0,64.0,0.0,0.1823458252881047,3,0,,,,,,,,,8000,1232000,1424000,768000,9.706018809229136,4864000,900.8238601139747,106689536,,,c1102f9953dedb331f24925e49262550ed12485c,8e485bf2966371ce87e69254ab7ce45e5eb467d307289d0511e37b545f26fe9d,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_hybrid_v2_seed0,v2,DlgnFashionMnistPaperSmall,fashion-mnist,coverage_hybrid,0,2027,0,64,0.25,0.25,0.8756666481494904,0.8779999812444051,0.0023333330949147912,90000,54,0.8636999773979187,0.8671999800205231,0.0035000026226044145,48000,768000,192000,1.0,63.49575,0.3125,0.22513884604838855,3,77,0.2205,0.082875,1.0,1.0,55.14925,0.03685611313349236,1.0,0.13363058221220608,8000,1232000,1424000,768000,2.4803594849072397,4864000,900.5554028018378,106689536,1.1320758056640625,88333.30727472014,c1102f9953dedb331f24925e49262550ed12485c,b4c29a9b1c9a29cc96f3c510744eecdbce49f79aede51ef34c6964aef3c61ce9,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_hybrid_v2_seed1,v2,DlgnFashionMnistPaperSmall,fashion-mnist,coverage_hybrid,1,2027,1,64,0.25,0.25,0.876666647195816,0.8778333147366841,0.0011666675408681382,86000,54,0.8624999791383743,0.8657999777793884,0.003299998641014157,48000,768000,192000,1.0,63.52075,0.3115,0.2223454519435916,4,87,0.220375,0.088,1.0,1.0,55.147625,0.03670828343639673,1.0,0.14646600622710054,8000,1232000,1424000,768000,2.455724344123155,4864000,903.0026527396403,106689536,1.1336675262451172,88209.2833083219,c1102f9953dedb331f24925e49262550ed12485c,fff1e3a3a2e7e3859dd9c6ecd1e79879941f3de89ec3f44b30eabe9975b935b7,3.12.13,2.9.0+cu130,13.0
paper_fashion_mnist_small_hybrid_v2_seed2,v2,DlgnFashionMnistPaperSmall,fashion-mnist,coverage_hybrid,2,2027,2,64,0.25,0.25,0.8718333125114441,0.8753333141406378,0.0035000016291936165,22000,54,0.8642999774217606,0.8693999797105789,0.0051000022888183505,48000,768000,192000,1.0,63.535125,0.30075,0.21951651418515192,3,78,0.220375,0.0845,1.0,1.0,55.160875,0.03663511692100298,1.0,0.14539611783525586,8000,1232000,1424000,768000,2.469259314239025,4864000,903.0932406331412,106689536,1.1418441772460937,87577.62398121657,c1102f9953dedb331f24925e49262550ed12485c,2bf064407dea8962828122fdec2458971914ee3c661d434d8a5d1e9e32100bc3,3.12.13,2.9.0+cu130,13.0
