family,candidate,provenance,dense_gate_count,trainable_parameters,training_routing_parameters,deployed_routing_bits,architecture,parametrization,seed_count,seeds,mean_best_validation_hard_accuracy,std_best_validation_hard_accuracy,mean_final_validation_hard_accuracy,std_final_validation_hard_accuracy,mean_final_validation_relaxed_accuracy,mean_wall_seconds,max_peak_gpu_memory_bytes,mean_test_hard_accuracy,std_test_hard_accuracy,mean_test_relaxed_accuracy
random,table1_mnist_random_48k,REPRODUCED,48000,768000,0,1200000,DlgnMnistPaperSmall,raw,5,"0,1,2,3,4",0.971566637357076,0.00043461437444960245,0.9702999711036682,0.0005700873431280122,0.9705666381120682,901.6871511821985,106689536,0.970899977684021,0.001795828338632397,0.9716799783706666
coverage_v3,table1_mnist_v3_incumbent_48k,OUR-FINAL,48000,768000,0,1200000,DlgnMnistPaperSmall,raw,5,"0,1,2,3,4",0.9740333026647567,0.001138956852406219,0.9730333036184311,0.0012213379770072772,0.9732999700307846,901.2161139573989,106689536,0.9749999767541886,0.0009924703402145818,0.9754199758768082
mommen,table1_mnist_mommen_nc16_depth2_48k,ADAPTED,48000,2304000,1536000,1200000,DlgnMnistLearnable48kDepth2,raw,5,"0,1,2,3,4",0.9794666343927384,0.0012099129343764341,0.9784333010514578,0.0011401747225581892,0.9784333010514578,2154.9585176851992,1076387328,0.9808399767875672,0.0006580279548808299,0.9811399762630463
lilogic,table1_mnist_lilogic_top32_depth3_tau15_48k,ADAPTED,48000,3840000,3072000,1216000,DlgnMnistLearnable48kDepth3,raw,5,"0,1,2,3,4",0.9792666673342387,0.001426923608310751,0.9784333339055379,0.0015881506425052879,0.9785666672388712,4921.435724589998,4495842816,0.98124,0.00028809720581777706,0.98134
bitlogic,table1_mnist_bitlogic_48k,ADAPTED,48000,3840000,3072000,2592000,DlgnMnistBitLogic48k,light,5,"0,1,2,3,4",0.9812333340009054,0.00041833019691102824,0.9809666672070821,0.00044721367546811895,0.9808666671117147,5350.787726591004,3819600384,0.98204,0.0004159326868617,0.98226
