step,thresh_0,thresh_1,thresh_2,thresh_3
1000,0.0,0.0,0.2705882489681244,0.7254902124404907
2000,0.0,0.0,0.2705882489681244,0.7254902124404907
3000,0.0,0.0,0.2705882489681244,0.7254902124404907
4000,0.0,0.0,0.2705882489681244,0.7254902124404907
5000,0.0,0.0,0.2705882489681244,0.7254902124404907
6000,0.0,0.0,0.2705882489681244,0.7254902124404907
7000,0.0,0.0,0.2705882489681244,0.7254902124404907
8000,0.0,0.0,0.2705882489681244,0.7254902124404907
9000,0.0,0.0,0.2705882489681244,0.7254902124404907
10000,0.0,0.0,0.2705882489681244,0.7254902124404907
11000,0.0,0.0,0.2705882489681244,0.7254902124404907
12000,0.0,0.0,0.2705882489681244,0.7254902124404907
13000,0.0,0.0,0.2705882489681244,0.7254902124404907
14000,0.0,0.0,0.2705882489681244,0.7254902124404907
15000,0.0,0.0,0.2705882489681244,0.7254902124404907
16000,0.0,0.0,0.2705882489681244,0.7254902124404907
17000,0.0,0.0,0.2705882489681244,0.7254902124404907
18000,0.0,0.0,0.2705882489681244,0.7254902124404907
19000,0.0,0.0,0.2705882489681244,0.7254902124404907
20000,0.0,0.0,0.2705882489681244,0.7254902124404907
