step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
1000,1.0,1.0,0.19940997505187988,0.8471666679382325,0.8721666677792868,1.0352734378973643,0.35432186341285704
2000,1.0,1.0,0.10306974864006042,0.8600000004768371,0.8928333339691162,0.9602130721410116,0.2913664668003718
3000,1.0,1.0,0.078564257979393,0.8696666674613953,0.90100000111262,0.8461119372049968,0.27722920866807305
4000,1.0,1.0,0.05841621100902557,0.87400000111262,0.9036666671435039,0.816880345026652,0.27293843960762026
5000,1.0,1.0,0.041767505288124084,0.8746666673024496,0.90200000111262,0.7389882887204489,0.28088330320517224
6000,1.0,1.0,0.027507594168186187,0.8840000003178914,0.9006666674613952,0.6843127897580464,0.3016078685124715
7000,1.0,1.0,0.017730114817619325,0.8836666671435038,0.9010000012715658,0.6823338479995728,0.3077385377486547
8000,1.0,1.0,0.010979852989315987,0.8883333338101705,0.9011666674613953,0.6732242655754089,0.3252692310412725
9000,1.0,1.0,0.006457192853093147,0.886666667620341,0.8993333341280619,0.6823619101842244,0.3479419982433319
10000,1.0,1.0,0.004091880440711975,0.8868333342870076,0.9006666674613952,0.683617595354716,0.36011075067520143
11000,1.0,1.0,0.002576166238635778,0.8930000007947286,0.8998333336512248,0.6606630469957987,0.37540662876764935
12000,1.0,1.0,0.001670875482261181,0.8931666674613953,0.9010000007947286,0.6538011252085368,0.38572904324531554
13000,1.0,1.0,0.0011061496473848819,0.8958333336512248,0.9000000007947286,0.6505500260988871,0.4017621654669444
14000,1.0,1.0,0.0007326062982901931,0.8931666669845582,0.9003333346048991,0.6532891325950623,0.41370682922999064
15000,1.0,1.0,0.0005068993959575892,0.8973333341280619,0.8993333341280619,0.6484934525489807,0.42879927221934
16000,1.0,1.0,0.00035220691561698916,0.8941666669845582,0.8998333346048991,0.6454171860218048,0.43858379689852395
17000,1.0,1.0,0.00024201233871281146,0.8960000007947286,0.9000000006357829,0.6368567105929057,0.4482838699817657
18000,1.0,1.0,0.00017446148744784296,0.8955000007947286,0.8998333344459534,0.6443167697588603,0.4602146178881327
19000,1.0,1.0,0.0001263114099856466,0.8960000007947286,0.9015000011126201,0.6527179226080576,0.47118527674674987
20000,1.0,1.0,9.174191358033566e-05,0.8963333341280619,0.9006666679382325,0.6473161814212799,0.48238234933217367
