step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,1.1592159423828126,0.10439999707043171,0.10139999724924564,2.6730031824111937,2.322224431037903
4000,1.1574097900390625,0.10059999667108059,0.10099999729543924,2.62850115776062,2.3079300117492676
6000,1.155939208984375,0.10179999765008688,0.09719999723136424,2.7184336137771608,2.309011626243591
8000,1.1554356689453125,0.1059999966621399,0.09799999684095383,2.7380128049850465,2.3115652799606323
10000,1.1546103515625,0.10179999735206366,0.103599997125566,2.6897535943984985,2.307346405982971
12000,1.1509510498046875,0.102799997292459,0.10139999724924564,2.7140762186050416,2.296750168800354
14000,1.1440732421875,0.09359999749809504,0.14919999614357948,2.680187087059021,2.2862159967422486
16000,1.1420198974609375,0.08959999728947877,0.13959999784827232,2.7114639139175414,2.2830831956863404
18000,1.140062255859375,0.1043999968469143,0.1575999964773655,2.6661331701278685,2.2707288122177123
20000,1.1329810791015626,0.10819999694824219,0.1729999952018261,2.639223279953003,2.2673667335510252
