step,thresh_0,thresh_1,thresh_2,thresh_3
500,0.0,0.0,0.2705882489681244,0.7254902124404907
1000,0.0,0.0,0.2705882489681244,0.7254902124404907
1500,0.0,0.0,0.2705882489681244,0.7254902124404907
2000,0.0,0.0,0.2705882489681244,0.7254902124404907
2500,0.0,0.0,0.2705882489681244,0.7254902124404907
3000,0.0,0.0,0.2705882489681244,0.7254902124404907
3500,0.0,0.0,0.2705882489681244,0.7254902124404907
4000,0.0,0.0,0.2705882489681244,0.7254902124404907
4500,0.0,0.0,0.2705882489681244,0.7254902124404907
5000,0.0,0.0,0.2705882489681244,0.7254902124404907
