channel_fanout_cv,channel_fanout_max,channel_fanout_mean,channel_fanout_min,channel_group_size,channel_pair_span_mean,channel_pair_span_p50,channel_pair_span_p90,construction_seconds,cross_channel_leaf_pair_fraction,depth,distinct_channel_groups,duplicate_channel_groups,generator_temporary_bytes,in_channels,learned_tree_gates,out_kernels,raw_channel_ancestry_max,raw_channel_ancestry_mean,raw_channel_ancestry_min,raw_channel_coverage_fraction,raw_predecessor_jaccard_mean,same_input_channel_fraction,same_threshold_fraction,spatial_coordinates_sha256,spatial_gate_applications,spatial_offset_fanout_cv,spatial_output_positions,strategy,structure,tree_depth,unique_channel_spatial_leaves_mean,unique_channel_spatial_leaves_min,unique_spatial_offsets_mean,unique_spatial_offsets_min,unused_channels
0.07967217989988727,8,7.111111111111111,6,2,4.03125,3.0,6.0,0.04197056801058352,0.59375,0,9,23,9368,9,224,32,2,2.0,2,1.0,0.0,0.0,1.0,8f2b4301a0a3f545769792e03dcc56bb31d6a81f7c6c4a944785997e76c76b91,229376,0.11848242881330548,1024,semantic_multiscale_balanced,conv_channel,3,6.71875,5,5.53125,4,0
0.0,8,8.0,8,2,5.625,4.0,16.0,0.01191397593356669,0.58203125,1,80,48,36608,32,896,128,4,4.0,4,1.0,0.0,,,60da4b757b4af1d89459670cdf42e454cd6f1e721e66425fe596e6abeefeb7ea,229376,0.09688169394715553,256,semantic_multiscale_balanced,conv_channel,3,6.71875,5,5.453125,3,0
0.0,8,8.0,8,2,16.875,8.0,64.0,0.04410628811456263,0.5771484375,2,448,64,146432,128,3584,512,7,6.46484375,4,1.0,0.25234375,,,37403920726b9923b547818faa0b89f3303c8ecf9f0653a6dee6c826ff55e5e5,229376,0.06448178665516101,64,semantic_multiscale_balanced,conv_channel,3,6.796875,4,5.505859375,3,0
0.0,4,4.0,4,2,30.0,24.0,64.0,0.08867586799897254,0.5732421875,3,1024,0,348160,512,7168,1024,9,8.322265625,5,1.0,0.5614366319444445,,,72a452ee065a2822d209ed76a5c75f908552c43f92b728365d16adb0f3b82c5b,114688,0.027666637818961063,16,semantic_multiscale_balanced,conv_channel,3,6.7900390625,4,5.5087890625,2,0
