step,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.36199226074218754,0.8453333129485449,0.855833308895429,0.5000850357115268,0.39569437528649964
4000,0.192041748046875,0.8509999801715215,0.8723333090543747,0.44908291002114614,0.35450187226136526
6000,0.16033434448242187,0.8643333146969477,0.8733333120743434,0.3911638967692852,0.3423004319270452
8000,0.13942521057128907,0.8626666456460953,0.8756666471560796,0.3927213651438554,0.33668906837701795
10000,0.1248556365966797,0.8619999746481578,0.8804999808470408,0.4033706543346246,0.3322244269152482
12000,0.1141415496826172,0.8661666452884674,0.8781666467587154,0.3848546274006367,0.3341046040256818
14000,0.10617940063476562,0.868166646361351,0.878333314259847,0.37300938193996747,0.33443025226394335
16000,0.10013421020507812,0.8713333129882812,0.8793333142995834,0.3642376927038034,0.3355115125576655
18000,0.09519026184082031,0.8724999835093816,0.8773333112398783,0.36449091459314026,0.3357290729880333
20000,0.09163269653320312,0.8756666451692581,0.8788333137830099,0.3542845251659552,0.33490814790129664
22000,0.08830865478515625,0.8739999741315841,0.8798333138227463,0.35567218363285064,0.3347340613603592
24000,0.08597178039550782,0.8731666445732117,0.8791666467984517,0.35658979987104733,0.3344380649427573
26000,0.08416185607910157,0.8726666460434596,0.8779999782641729,0.35852441440025967,0.33420694172382354
28000,0.08224122619628907,0.8714999794960022,0.8766666452089945,0.35358866179982823,0.3359130988518397
30000,0.08043047790527344,0.8726666500171025,0.8751666456460953,0.355230405429999,0.3354655024906
32000,0.07898596801757812,0.869833313425382,0.8776666432619095,0.3574365645647049,0.3372888706624508
34000,0.07792388305664062,0.8709999750057856,0.8751666436592738,0.35517368440826735,0.3375147784749667
36000,0.07677101440429687,0.8726666440566381,0.8754999786615372,0.3547716587781906,0.3387288024028142
38000,0.07612603454589843,0.870499978462855,0.8758333116769791,0.35913546085357667,0.33933053687214854
40000,0.07522847900390625,0.8753333141406378,0.8768333127101262,0.3554835518201192,0.3386695129175981
42000,0.07448288726806641,0.8734999815622966,0.8773333132266998,0.35628199875354766,0.3394506121675173
44000,0.07368890533447264,0.8751666446526846,0.878499976793925,0.35905412832895917,0.3403869224091371
46000,0.07352645874023438,0.8741666465997696,0.877333312233289,0.3607126759986083,0.34127263973156613
48000,0.07293921203613282,0.8728333145380021,0.8771666447321574,0.35969916929801304,0.3412612684071064
50000,0.07228589172363281,0.8708333144585292,0.876666647195816,0.3585870583852132,0.3415874091287454
52000,0.07188034057617188,0.8718333144982656,0.8776666442553203,0.3614137696723143,0.3415625842909018
54000,0.07178241119384765,0.8728333125511806,0.8766666422287623,0.3589004340271155,0.34191890781124434
56000,0.07107550506591796,0.8711666415135065,0.8769999772310257,0.3573640408615271,0.3417728458841642
58000,0.07093771362304688,0.8724999765555064,0.8766666412353515,0.3562654082973798,0.3420395555595557
60000,0.07068801727294922,0.8744999786218007,0.8794999798138936,0.3568325330813726,0.34153103157877923
62000,0.07019191589355468,0.8701666444540024,0.8763333131869634,0.3590676511327426,0.341253105054299
64000,0.07017960205078125,0.8734999795754751,0.8779999782641729,0.360193133354187,0.341122039159139
66000,0.06978797149658203,0.8748333106438319,0.8776666472355524,0.35749691327412925,0.3418919083972772
68000,0.06982041778564453,0.87449997762839,0.8763333131869634,0.35792258058985077,0.34204258074363075
70000,0.06944405822753906,0.8713333110014597,0.8771666427453358,0.35675081312656404,0.34140877376000084
72000,0.06912955169677734,0.8726666420698166,0.8773333112398783,0.3555008962750435,0.3422319014867147
74000,0.06905495452880858,0.8738333135843277,0.8774999767541886,0.3545046458641688,0.34206384867429734
76000,0.06871953735351562,0.875333313147227,0.8769999792178472,0.35180075640479724,0.34222763031721115
78000,0.06870527801513672,0.8739999781052271,0.8774999797344207,0.3557512201368809,0.3421503240863482
80000,0.0684686508178711,0.8726666470368704,0.8773333102464675,0.35707298169533414,0.34243891686201094
82000,0.06834998931884766,0.8739999761184056,0.8768333127101262,0.3542107467850049,0.3421099752187729
84000,0.06828959197998047,0.875499979654948,0.8771666447321574,0.3567853423456351,0.342498150964578
86000,0.06786784515380859,0.876666647195816,0.8778333147366841,0.3575575473407904,0.3421954892575741
88000,0.06797561645507813,0.8746666481097539,0.8778333107630412,0.3565844066441059,0.3419387104610602
90000,0.06763865661621095,0.8746666471163432,0.8776666462421417,0.3574390818675359,0.34205015152692797
92000,0.06773196716308594,0.8756666471560796,0.8776666482289632,0.35549702967206637,0.34206387028098106
94000,0.06768628234863282,0.8741666475931803,0.8779999812444051,0.3545494052271048,0.34202446763714156
96000,0.06738936767578124,0.8744999756415684,0.8774999807278315,0.3558908964196841,0.34194280008474986
98000,0.06712225341796875,0.874666644136111,0.8776666492223739,0.3559236538906892,0.34314495623111724
100000,0.06737887115478516,0.8741666475931803,0.8791666507720948,0.3550992635389169,0.34309555068612096
102000,0.06711351928710937,0.8748333116372426,0.8779999812444051,0.35312963277101517,0.34248413095871605
104000,0.06693697357177733,0.872333312034607,0.8771666457255681,0.3560652623573939,0.34250059897700946
106000,0.06701707763671874,0.8724999795357387,0.8768333146969477,0.35747085958719255,0.34205069243907926
108000,0.06685725402832031,0.8728333075841268,0.8759999791781108,0.3547214093307654,0.34310279140869776
